[nb-items] 80
[nb-objectives] 3
[nb-pareto] 1470
[nb-lorenz] 7
[runtime] 323.7117807865143
[format] f1 f2 f3 isLorenzND
[vector] 30130 30105 30035 True
[vector] 31352 29500 30297 True
[vector] 30542 29963 29940 True
[vector] 30627 29926 30276 True
[vector] 30897 29631 30534 True
[vector] 30147 30024 30265 True
[vector] 31082 29795 30039 True
[vector] 31557 26160 31209 False
[vector] 34664 25303 25483 False
[vector] 29350 29811 30758 False
[vector] 31726 29191 30114 False
[vector] 27323 26707 32301 False
[vector] 29163 29606 31002 False
[vector] 31745 25926 31100 False
[vector] 29013 27701 31949 False
[vector] 28275 28797 31765 False
[vector] 28389 27924 32041 False
[vector] 34457 25767 26074 False
[vector] 30989 25499 31518 False
[vector] 30671 27797 31492 False
[vector] 34110 26921 25948 False
[vector] 29288 28262 31753 False
[vector] 28081 27434 32171 False
[vector] 27391 26316 32438 False
[vector] 34140 25632 27704 False
[vector] 28816 28353 31762 False
[vector] 28824 29722 31175 False
[vector] 31029 27605 31265 False
[vector] 32622 28322 29721 False
[vector] 33159 27751 29402 False
[vector] 33665 27567 27066 False
[vector] 29331 28187 31727 False
[vector] 30417 29729 30523 False
[vector] 28709 29023 31542 False
[vector] 29310 29672 30891 False
[vector] 33390 27640 28814 False
[vector] 34260 25433 27122 False
[vector] 33827 26776 28281 False
[vector] 28738 29296 31348 False
[vector] 31018 27297 31400 False
[vector] 33103 26879 29905 False
[vector] 31874 28214 30585 False
[vector] 28661 25804 32236 False
[vector] 31658 28738 30473 False
[vector] 33170 28291 27705 False
[vector] 32366 28692 29762 False
[vector] 31456 29486 29856 False
[vector] 27439 29557 31212 False
[vector] 29456 29088 31324 False
[vector] 29948 29552 30844 False
[vector] 28768 26971 32107 False
[vector] 27905 28708 31805 False
[vector] 29185 28180 31811 False
[vector] 30500 28987 31185 False
[vector] 33526 27557 28761 False
[vector] 33781 26798 28694 False
[vector] 28973 29727 30904 False
[vector] 30072 29124 31167 False
[vector] 31113 25625 31393 False
[vector] 33723 27515 27519 False
[vector] 33055 27152 29846 False
[vector] 32030 27354 30941 False
[vector] 31618 28584 30626 False
[vector] 30712 29282 30688 False
[vector] 29279 30426 29410 False
[vector] 31865 28487 30534 False
[vector] 34228 25897 27486 False
[vector] 31753 29354 28945 False
[vector] 28350 28264 31905 False
[vector] 26744 30763 29349 False
[vector] 31156 27313 31262 False
[vector] 30850 28233 31219 False
[vector] 33547 27698 28227 False
[vector] 30105 29471 30869 False
[vector] 31990 28412 30430 False
[vector] 32845 26760 30250 False
[vector] 32336 27118 30735 False
[vector] 30819 28837 30968 False
[vector] 29495 27003 31994 False
[vector] 34348 25698 26904 False
[vector] 29176 29699 30865 False
[vector] 31688 28783 30459 False
[vector] 32236 28771 29813 False
[vector] 29461 29386 31133 False
[vector] 28869 27471 32046 False
[vector] 32254 28712 29927 False
[vector] 29723 30316 29060 False
[vector] 29733 28456 31528 False
[vector] 31111 28473 30994 False
[vector] 30256 28765 31224 False
[vector] 34159 25859 27645 False
[vector] 28943 28837 31650 False
[vector] 33984 27135 27274 False
[vector] 27065 29463 31349 False
[vector] 28555 28498 31761 False
[vector] 27782 28114 32039 False
[vector] 27667 27939 32060 False
[vector] 30387 26372 31754 False
[vector] 31721 27702 30948 False
