[nb-items] 40
[nb-objectives] 4
[nb-pareto] 597
[nb-lorenz] 12
[runtime] 16.209441900253296
[format] f1 f2 f3 f4 isLorenzND
[vector] 15405 15013 14097 15436 True
[vector] 15161 14592 14253 15369 True
[vector] 14665 14359 14477 14435 True
[vector] 14909 14780 14321 14502 True
[vector] 15847 15582 13198 16066 True
[vector] 15118 14257 14498 14687 True
[vector] 15340 15428 13911 15324 True
[vector] 15778 14880 13838 15738 True
[vector] 15549 15594 13635 15432 True
[vector] 15111 14744 14176 14916 True
[vector] 15350 14825 14167 14994 True
[vector] 14745 14862 14179 15039 True
[vector] 16756 14309 11636 14349 False
[vector] 15680 15653 12414 15015 False
[vector] 15187 14234 13752 16065 False
[vector] 16479 14858 11664 15636 False
[vector] 16079 13872 13436 14893 False
[vector] 16051 13673 13512 14948 False
[vector] 13774 16276 13037 14791 False
[vector] 15448 14405 14010 14132 False
[vector] 13533 15414 14246 14019 False
[vector] 16650 14882 11547 15006 False
[vector] 16355 14167 11437 15987 False
[vector] 14864 15128 13945 14873 False
[vector] 14926 16364 13073 14530 False
[vector] 15823 12514 13875 13861 False
[vector] 12797 13334 15005 12478 False
[vector] 15468 14801 12785 16523 False
[vector] 14055 14200 14788 13656 False
[vector] 13826 13865 14428 15060 False
[vector] 16850 13721 11334 15052 False
[vector] 15933 15084 12861 15828 False
[vector] 15698 14965 12101 16424 False
[vector] 15952 14192 13461 14514 False
[vector] 14286 15193 14087 14764 False
[vector] 14952 14785 13304 16317 False
[vector] 15280 15473 13311 15994 False
[vector] 14965 15896 13619 15554 False
[vector] 15095 16116 12712 14656 False
[vector] 15782 14882 11632 16466 False
[vector] 14720 15162 13699 15668 False
[vector] 14585 13734 12517 16875 False
[vector] 16425 13899 13508 14887 False
[vector] 16014 14889 12685 15952 False
[vector] 15004 16014 12313 15076 False
[vector] 15568 15659 13092 14935 False
[vector] 14913 16010 12179 15304 False
[vector] 15134 14379 13865 15633 False
[vector] 15236 14982 12718 16485 False
[vector] 16494 13058 12726 14720 False
[vector] 14828 16039 13625 15357 False
[vector] 14959 15238 12310 16717 False
[vector] 14404 14824 14415 13853 False
[vector] 13601 16568 12000 14221 False
[vector] 16114 13461 12200 16035 False
[vector] 14472 14608 13493 16252 False
[vector] 15708 15852 12338 14960 False
[vector] 13281 12359 14499 14776 False
[vector] 16421 14303 12205 15738 False
[vector] 16393 14104 12281 15793 False
[vector] 14851 14273 14147 15371 False
[vector] 15919 14269 13476 14283 False
[vector] 15941 14297 13082 15796 False
[vector] 13804 16379 12291 14905 False
[vector] 14826 13777 14572 13774 False
[vector] 14612 13990 14515 13304 False
[vector] 14874 14999 12705 16612 False
[vector] 14458 14829 12524 16689 False
[vector] 15606 14639 11893 16589 False
[vector] 16294 14550 12275 15574 False
[vector] 14972 15592 13204 15943 False
[vector] 15908 14862 12961 15620 False
[vector] 15929 14136 11882 16333 False
[vector] 15118 15420 12549 16679 False
[vector] 16647 13631 11959 15116 False
[vector] 14181 14253 14551 14650 False
[vector] 15498 14253 14087 14585 False
[vector] 14870 15185 11156 16834 False
[vector] 14087 12835 14675 14463 False
[vector] 16690 14348 10665 14702 False
[vector] 16115 14463 12219 15888 False
[vector] 14748 13440 14534 13968 False
[vector] 16436 13820 13019 14695 False
[vector] 16142 13660 12124 15980 False
[vector] 15808 13611 13923 14518 False
[vector] 16356 13896 12481 15711 False
[vector] 14728 15901 13293 15572 False
[vector] 16374 14474 12813 14558 False
[vector] 16682 13859 12632 14862 False
[vector] 16589 14393 12252 15091 False
[vector] 13894 14956 14390 13907 False
[vector] 15833 13833 13823 14726 False
[vector] 16678 15081 11471 14951 False
[vector] 14783 13518 12422 16897 False
[vector] 14841 12680 14524 13117 False
[vector] 16264 14481 13413 15548 False
[vector] 16350 15235 12796 15391 False
[vector] 15441 15604 12880 16431 False
[vector] 14547 13420 14438 15135 False
[vector] 14712 16055 12780 15153 False
[vector] 15218 15058 13364 15573 False
[vector] 15995 15230 12106 15455 False
[vector] 17151 12184 10198 13809 False
[vector] 17012 13663 10684 14529 False
[vector] 14030 14406 14409 14571 False
[vector] 14981 15329 12910 16533 False
[vector] 16275 14402 12924 15356 False
[vector] 14284 12890 14797 13469 False
[vector] 17059 12769 11130 13646 False
[vector] 14236 15734 12970 16167 False
[vector] 14418 13483 14741 14242 False
[vector] 13919 12931 14721 14619 False
[vector] 14428 14947 14303 13584 False
[vector] 14849 16077 13099 14489 False
[vector] 15612 14211 12718 16581 False
[vector] 15418 14218 14078 14950 False
[vector] 16712 13805 12183 13814 False
[vector] 13547 16331 12728 14904 False
[vector] 13501 14340 14612 13217 False
[vector] 13806 14721 14259 14880 False
[vector] 14201 16189 13117 15415 False
[vector] 14466 14679 13742 15990 False
[vector] 16472 13073 13006 14305 False
[vector] 13491 16224 13539 13989 False
[vector] 16769 14227 11777 14697 False
[vector] 16860 12773 10533 14935 False
[vector] 16200 14215 11583 15878 False
[vector] 14762 14751 13416 15974 False
[vector] 15156 15973 12739 14943 False
[vector] 15518 14256 14131 14286 False
[vector] 15604 15010 13514 14129 False
[vector] 16261 15018 11975 15414 False
[vector] 15671 13862 13310 16246 False
[vector] 14024 13591 13887 15983 False
[vector] 13003 16200 12021 15208 False
[vector] 14887 14842 11159 16728 False
[vector] 14329 15487 13605 15734 False
[vector] 15211 13587 13340 16348 False
[vector] 16986 12874 11341 14463 False
[vector] 16371 14553 12563 14869 False
[vector] 16166 15254 11989 14825 False
[vector] 15929 13666 13732 13953 False
[vector] 13948 13386 14201 15442 False
[vector] 15915 14217 13161 15761 False
[vector] 17080 12298 10647 14224 False
[vector] 16361 15156 12307 15199 False
[vector] 15867 14948 12093 16077 False
[vector] 15476 14899 13648 15021 False
[vector] 16420 13434 11893 15813 False
[vector] 14721 15610 11723 16169 False
[vector] 16033 15222 13193 15613 False
[vector] 13625 16346 12282 15157 False
[vector] 14755 15665 13819 14343 False
[vector] 16238 12766 10894 16084 False
[vector] 14925 15445 13798 14771 False
[vector] 17021 13745 11217 14422 False
[vector] 17159 12907 11462 13431 False
[vector] 15271 13547 13783 15863 False
[vector] 15449 15456 13303 15647 False
[vector] 13671 15574 12413 16570 False
[vector] 14768 15051 13223 16432 False
[vector] 15193 15724 12809 15555 False
[vector] 16684 13606 12259 13869 False
[vector] 14274 14827 14253 14638 False
[vector] 16190 15132 12424 15829 False
[vector] 14349 14860 11994 16790 False
[vector] 13741 15735 11142 16347 False
[vector] 12931 13037 14921 13373 False
[vector] 16834 13494 12233 14523 False
[vector] 14325 15082 14305 14624 False
[vector] 13932 15747 13710 14376 False
[vector] 16582 13721 12300 15077 False
[vector] 16668 14475 11683 14920 False
[vector] 16910 13655 11414 14663 False
[vector] 16831 12973 12348 13845 False
[vector] 14594 13299 13755 15979 False
[vector] 16431 13386 11364 15787 False
[vector] 16123 15567 12362 15185 False
[vector] 14662 13838 14592 13757 False
[vector] 16688 14478 11727 14621 False
[vector] 15060 14439 13871 15479 False
[vector] 16455 14305 11769 15772 False
[vector] 16427 14106 11845 15827 False
[vector] 16091 14460 12900 15638 False
[vector] 13995 14513 14277 14654 False
[vector] 15358 14427 13434 16113 False
[vector] 14833 15444 13669 15254 False
[vector] 14961 15909 12926 15282 False
[vector] 15134 15879 13611 15207 False
[vector] 14946 16022 12290 14928 False
[vector] 17022 13060 10940 14199 False
[vector] 15956 13897 12848 16112 False
[vector] 15375 15468 12112 16680 False
[vector] 14691 16410 12638 14265 False
[vector] 15612 15628 12763 15801 False
[vector] 16160 14635 12894 15066 False
[vector] 16848 13724 10704 14512 False
[vector] 15771 14797 12454 16564 False
[vector] 14441 14009 14470 14803 False
[vector] 15864 14482 13780 15949 False
[vector] 16675 13830 11883 15061 False
[vector] 15567 15018 13472 15453 False
[vector] 16820 14110 11284 14581 False
[vector] 15057 15427 13312 16027 False
[vector] 14700 14514 12242 16949 False
[vector] 14143 14401 12919 16714 False
[vector] 14708 12838 14533 14474 False
[vector] 14985 14797 13415 15941 False
[vector] 12862 16043 11964 15558 False
[vector] 16038 14242 12273 16235 False
[vector] 14648 14851 13232 16129 False
[vector] 15875 14403 13291 15757 False
[vector] 14205 13774 14714 13763 False
[vector] 15068 14409 14421 14234 False
[vector] 16200 14529 12680 15499 False
[vector] 15462 15813 12725 14793 False
[vector] 15893 14232 13441 15346 False
[vector] 14338 14306 14506 13918 False
[vector] 15302 15874 12020 15325 False
[vector] 14105 14048 14865 14109 False
[vector] 16660 14279 11803 14676 False
[vector] 14570 15839 12812 15727 False
[vector] 14461 13818 14496 14924 False
[vector] 17251 12322 10530 13594 False
[vector] 13663 12887 14939 13458 False
[vector] 13866 16528 12366 14384 False
[vector] 12795 13587 14902 12709 False
[vector] 15620 14750 13483 15805 False
[vector] 14295 15162 14195 14469 False
[vector] 15465 14957 12468 16714 False
[vector] 13551 14188 14689 13670 False
[vector] 14863 15720 11924 15972 False
[vector] 15193 14163 13503 16327 False
[vector] 13822 14756 12698 16708 False
[vector] 14685 15617 13846 14916 False
[vector] 14705 14239 14340 14991 False
[vector] 16783 13902 11484 14499 False
[vector] 15344 15599 13309 15046 False
[vector] 14911 16061 12849 14829 False
[vector] 15466 15113 13306 15541 False
[vector] 15764 15101 12869 16175 False
[vector] 14377 15502 14067 13961 False
[vector] 16839 13769 11863 15078 False
[vector] 14069 15685 13928 14054 False
[vector] 13632 16042 11867 15546 False
[vector] 14363 16476 13524 14679 False
[vector] 14706 15810 12693 15756 False
[vector] 14957 15289 12980 16242 False
[vector] 15737 12912 13933 13650 False
[vector] 14264 15687 13737 14014 False
[vector] 15984 13854 13662 14395 False
[vector] 16697 13148 12101 14656 False
[vector] 16861 13642 10845 14860 False
[vector] 14043 15020 12008 16940 False
[vector] 14138 15545 11968 16857 False
[vector] 13410 14135 14354 14730 False
[vector] 14520 16386 12755 14895 False
[vector] 16882 13456 11490 14718 False
[vector] 13950 13781 12449 17011 False
[vector] 16585 12934 12735 13678 False
[vector] 16265 13796 13136 15325 False
[vector] 14805 15513 13896 14796 False
[vector] 15877 15528 12749 15018 False
[vector] 14566 15614 12886 16308 False
[vector] 15451 15001 13136 16101 False
[vector] 16228 14414 11507 15823 False
[vector] 15051 15498 13561 15765 False
[vector] 15527 15719 13092 14302 False
[vector] 14507 16032 11861 15669 False
[vector] 16331 14814 11849 15704 False
[vector] 15594 13703 13869 14566 False
[vector] 12916 14235 14621 13806 False
[vector] 16188 14834 12818 15011 False
[vector] 14305 14559 14451 14139 False
[vector] 14534 15248 14029 14732 False
[vector] 14662 15765 12525 15821 False
[vector] 14715 14872 14099 15130 False
[vector] 16372 15241 11485 15101 False
[vector] 14285 14631 14484 13841 False
[vector] 16613 13133 12659 13623 False
[vector] 14085 13088 14572 14694 False
[vector] 16266 14351 12351 15629 False
[vector] 13434 14371 14627 13235 False
[vector] 13368 16298 12719 15156 False
[vector] 14509 16070 13224 15466 False
[vector] 14538 15622 13358 15812 False
[vector] 15870 14411 13531 16211 False
[vector] 13527 13437 14920 12794 False
[vector] 16680 14010 10956 14720 False
[vector] 16165 14910 12524 15621 False
[vector] 15878 15033 11271 15979 False
[vector] 15341 16079 13097 14755 False
[vector] 16093 15187 13233 15390 False
[vector] 15944 15169 12039 15730 False
[vector] 15252 16026 11943 14872 False
[vector] 14110 14555 14494 13333 False
[vector] 16522 14574 12402 14538 False
[vector] 15825 15707 12655 14936 False
[vector] 15423 16050 11826 14242 False
[vector] 14421 14081 14503 14505 False
[vector] 14240 16123 12165 15031 False
[vector] 15173 15575 13426 15676 False
[vector] 15412 15965 12648 14340 False
[vector] 14865 15758 13287 15769 False
[vector] 14778 16191 13548 14904 False
[vector] 15243 14726 13690 16172 False
[vector] 15241 15941 12765 14970 False
[vector] 15871 14935 12786 16349 False
[vector] 15695 14692 13047 16472 False
[vector] 13763 15845 13942 14204 False
[vector] 16926 12909 11301 14686 False
[vector] 15658 16004 12261 14507 False
[vector] 14300 15832 12375 16121 False
[vector] 15857 14979 13454 15736 False
[vector] 14234 15696 11607 16370 False
[vector] 16204 15061 11919 15540 False
[vector] 14025 14634 13896 15498 False
[vector] 15552 15345 13269 14547 False
[vector] 16846 13854 11766 14431 False
[vector] 14388 14154 14583 14371 False
[vector] 14191 13650 14807 14320 False
[vector] 16912 13525 10352 14744 False
[vector] 14803 14166 13879 15616 False
[vector] 16442 14650 11864 15554 False
[vector] 13342 16308 11809 15420 False
[vector] 15224 13668 14466 15019 False
[vector] 16915 12988 11790 14878 False
[vector] 15145 15964 12789 15109 False
[vector] 12883 12936 14947 12689 False
[vector] 17070 12690 10641 13454 False
[vector] 14914 15641 13567 15568 False
[vector] 15312 15667 13183 15538 False
[vector] 14680 13205 14546 14250 False
[vector] 14034 12988 14143 15653 False
[vector] 16444 12874 13082 14360 False
[vector] 13627 16558 12910 13957 False
[vector] 14427 15350 14144 14414 False
[vector] 15967 15086 12425 15862 False
[vector] 16095 15368 12438 15240 False
[vector] 14494 13565 14551 14703 False
[vector] 16255 14399 12880 15655 False
[vector] 14934 15450 13593 15689 False
[vector] 15128 15028 13043 16194 False
[vector] 13206 16011 12312 15892 False
[vector] 16592 14327 12088 15108 False
[vector] 15305 15173 13791 15365 False
[vector] 13919 15104 13987 14989 False
[vector] 14594 13603 14604 14039 False
[vector] 16228 13296 11989 15851 False
[vector] 15044 15638 13729 14783 False
[vector] 13704 16241 11959 15120 False
[vector] 14100 14276 14352 15036 False
[vector] 14963 15858 12256 15757 False
[vector] 16079 14156 13141 15778 False
[vector] 16572 14324 12044 15407 False
[vector] 13669 14864 14265 14683 False
[vector] 15432 12965 13878 15202 False
[vector] 14605 16221 12863 14979 False
[vector] 15253 14123 13946 15842 False
[vector] 15314 15640 13200 15167 False
[vector] 15584 13855 14029 14796 False
[vector] 14821 15067 13865 15580 False
[vector] 16351 14550 12519 15168 False
[vector] 14444 15217 14220 13824 False
[vector] 14651 15449 12994 16392 False
[vector] 15686 13392 11282 16584 False
[vector] 13871 15636 12272 16219 False
[vector] 15056 14771 12957 16309 False
[vector] 15918 15468 12749 15651 False
[vector] 13390 16250 13214 14794 False
[vector] 16583 14276 11515 15381 False
[vector] 16722 12368 11320 15175 False
[vector] 14687 13908 12748 16729 False
[vector] 14281 14291 14604 13986 False
[vector] 16674 14209 12003 14199 False
[vector] 12768 16439 12369 14815 False
[vector] 17010 13793 11746 14448 False
[vector] 15473 15898 11903 14695 False
[vector] 16982 13594 11822 14503 False
[vector] 16360 14632 13052 15061 False
[vector] 14557 15880 11938 16122 False
[vector] 16617 14592 12176 15036 False
[vector] 15796 14993 13222 15682 False
[vector] 16013 14020 12373 16027 False
[vector] 16104 14378 13041 15986 False
[vector] 16920 14248 11616 14366 False
[vector] 14431 14612 14214 15133 False
[vector] 15101 14632 13810 15854 False
[vector] 14563 13615 13479 16360 False
[vector] 15608 15641 12070 15529 False
[vector] 13407 14947 12182 16959 False
[vector] 14994 15790 13652 14330 False
[vector] 14411 14684 14247 14835 False
[vector] 15597 14954 13457 14456 False
[vector] 15843 15595 12505 15794 False
[vector] 15526 15068 13906 14871 False
[vector] 16392 13235 11969 15868 False
[vector] 14335 14479 14561 14294 False
[vector] 13726 15963 12935 15516 False
[vector] 14559 15918 13301 15919 False
[vector] 14876 14757 11981 16826 False
[vector] 14045 14803 14532 13986 False
[vector] 16760 12635 10201 15150 False
[vector] 15247 14194 14195 15580 False
[vector] 15595 14554 12715 16687 False
[vector] 14885 15262 14066 14316 False
[vector] 15081 14704 13843 15556 False
[vector] 14105 16276 12711 15049 False
[vector] 14645 15520 13243 16130 False
[vector] 15866 15519 12799 15184 False
[vector] 15347 14232 14248 14916 False
[vector] 15291 15789 12842 15423 False
[vector] 15875 15555 12732 15389 False
[vector] 14420 13625 14557 14549 False
[vector] 14150 15702 13831 14388 False
[vector] 16507 15057 11588 15581 False
[vector] 14655 16069 12940 15432 False
[vector] 15624 13667 14099 14618 False
[vector] 16544 14125 12120 15462 False
[vector] 14652 14441 14336 14087 False
[vector] 14093 15725 13858 14345 False
[vector] 16831 14031 10795 14389 False
[vector] 16189 14263 12112 15904 False
[vector] 16103 13509 12729 16061 False
[vector] 15554 15162 13437 13676 False
[vector] 14042 14900 12250 16823 False
[vector] 15758 13642 13849 14583 False
[vector] 15572 14002 13854 15036 False
[vector] 16303 14615 11925 15759 False
[vector] 16581 14406 12577 15300 False
[vector] 14670 15220 13723 15501 False
[vector] 14813 15006 13468 15960 False
[vector] 14203 14027 14611 13994 False
[vector] 13740 14211 14613 13085 False
[vector] 15289 14714 12729 16837 False
[vector] 15468 14408 14054 13833 False
[vector] 16921 13607 10885 14637 False
[vector] 15387 15307 13228 16168 False
[vector] 14421 15018 13298 16207 False
[vector] 15183 14766 13247 16657 False
[vector] 15881 14332 13042 16019 False
[vector] 15391 15927 13174 15208 False
[vector] 14558 14210 13435 16463 False
[vector] 13214 14327 11712 17256 False
[vector] 15588 14858 13130 16298 False
[vector] 16358 14635 12422 14521 False
[vector] 14138 15377 14234 13974 False
[vector] 16811 13570 11939 15133 False
[vector] 14544 15523 12286 16492 False
[vector] 15560 15679 12813 15334 False
[vector] 16025 14974 11863 15854 False
[vector] 16023 15429 12030 15400 False
[vector] 14762 15903 12857 15606 False
[vector] 14930 15244 13138 16172 False
[vector] 14935 16101 12779 15120 False
[vector] 14095 14651 14609 14439 False
[vector] 16256 13495 11913 15796 False
[vector] 16426 14423 12763 15025 False
[vector] 15860 15252 12508 15688 False
[vector] 14494 15065 14297 14277 False
[vector] 15943 14379 11969 15957 False
[vector] 14654 15614 12762 16127 False
[vector] 13942 13457 14450 15180 False
[vector] 12933 12784 15024 13142 False
[vector] 13673 14031 12315 16849 False
[vector] 14120 12951 14817 13452 False
[vector] 14564 14397 14322 14248 False
[vector] 14443 15934 12456 15715 False
[vector] 15240 15290 13579 15539 False
[vector] 15084 16031 13534 14754 False
[vector] 15423 14437 13934 15457 False
[vector] 14616 15904 13141 15640 False
[vector] 14727 14858 13284 16057 False
[vector] 14996 15870 12367 15381 False
[vector] 14490 14426 14357 14064 False
[vector] 16766 13706 11892 14019 False
[vector] 16049 14327 11451 16137 False
[vector] 14859 15100 11978 16932 False
[vector] 14806 16164 13082 14227 False
[vector] 14620 16524 13087 14680 False
[vector] 14752 15354 13160 16304 False
[vector] 16290 13760 11713 15960 False
[vector] 16702 14408 11927 14144 False
[vector] 12850 13189 14892 12910 False
[vector] 16673 13821 11645 15463 False
[vector] 14285 14799 12218 16724 False
[vector] 15297 14384 14171 14463 False
[vector] 16198 14345 12645 15797 False
[vector] 14799 15622 12519 16018 False
[vector] 14534 15770 13704 14837 False
[vector] 15644 13672 13943 14501 False
[vector] 16240 14499 13063 14593 False
[vector] 14710 15100 13586 16057 False
[vector] 14930 15338 13630 15696 False
[vector] 15677 13791 13061 16508 False
[vector] 16753 13745 12183 14447 False
[vector] 15352 16164 12275 14657 False
[vector] 13836 13927 14541 14671 False
[vector] 14531 16307 12266 14703 False
[vector] 15376 15624 12950 15507 False
[vector] 14523 14143 13907 15606 False
[vector] 16663 14200 12053 14365 False
[vector] 14037 16552 12249 13754 False
[vector] 13509 15121 12413 16813 False
[vector] 15397 14704 13484 15838 False
[vector] 17083 13549 10235 14114 False
[vector] 13962 15787 14043 13736 False
[vector] 14615 14511 14400 13982 False
[vector] 15747 15444 12866 16281 False
[vector] 15345 15053 13654 15921 False
[vector] 13564 15676 12528 16252 False
[vector] 15287 15169 12896 16383 False
[vector] 13316 14501 11943 17110 False
[vector] 14935 15110 14143 14769 False
[vector] 14923 15735 13086 15565 False
[vector] 14915 16048 13542 15101 False
[vector] 13899 15295 13961 14868 False
[vector] 15048 14900 13799 15502 False
[vector] 15604 13858 14073 14497 False
[vector] 14876 15679 12798 15577 False
[vector] 16593 13730 12250 14911 False
[vector] 16445 13630 12661 14931 False
[vector] 15844 15644 12256 14054 False
[vector] 16348 14471 11852 15598 False
[vector] 16188 14860 11950 16101 False
[vector] 16521 14441 12537 15523 False
[vector] 16607 15195 11920 15366 False
[vector] 16783 12784 11966 14527 False
[vector] 13951 14454 12011 16974 False
[vector] 15962 13826 12599 16374 False
[vector] 14666 15752 13218 16093 False
[vector] 13956 15787 13640 14667 False
[vector] 13723 15662 14210 13749 False
[vector] 13689 14673 14291 14804 False
[vector] 14282 14033 14722 13578 False
[vector] 15143 15616 13317 15797 False
[vector] 14088 15697 11891 16404 False
[vector] 16009 14515 12737 15708 False
[vector] 16023 14315 11894 16289 False
[vector] 15068 15743 12843 15456 False
[vector] 14299 13890 12864 16716 False
[vector] 13321 15345 12240 16748 False
[vector] 15681 15308 12098 16530 False
[vector] 14193 14630 14355 14324 False
[vector] 13998 16378 12826 14731 False
[vector] 14808 13938 14392 14689 False
[vector] 13757 15176 12355 16781 False
[vector] 16362 14502 11990 15142 False
[vector] 13798 16316 12967 15082 False
[vector] 16568 13224 12645 13818 False
[vector] 16540 13025 12721 13873 False
[vector] 15061 15505 13805 14193 False
[vector] 14484 15400 13952 14279 False
[vector] 15950 14219 13444 14885 False
[vector] 14921 15105 13918 14916 False
[vector] 14186 13878 14294 15247 False
[vector] 14553 15260 11992 17082 False
[vector] 16442 13109 12776 14253 False
[vector] 13966 16666 12698 14169 False
[vector] 14368 13635 14664 13789 False
[vector] 16991 14134 11167 13951 False
[vector] 16740 13097 12339 14887 False
