[nb-items] 30
[nb-objectives] 4
[nb-pareto] 195
[nb-lorenz] 2
[runtime] 1.8154559135437012
[format] f1 f2 f3 f4 isLorenzND
[vector] 10930 9893 9446 13148 False
[vector] 11336 10305 10947 11963 False
[vector] 11452 10071 10666 11673 False
[vector] 10369 11329 9607 12014 False
[vector] 11304 10780 9086 12675 False
[vector] 11748 10695 10248 12116 False
[vector] 10542 9592 9933 13116 False
[vector] 11596 9706 9779 12833 False
[vector] 10320 10162 9278 13492 False
[vector] 11166 10211 10206 12821 False
[vector] 10014 10657 10393 12744 False
[vector] 10955 10115 9346 13356 False
[vector] 11349 9512 10728 11659 False
[vector] 10630 10530 9922 12959 False
[vector] 9394 11062 8952 13223 False
[vector] 11244 9841 8586 13163 False
[vector] 12738 8885 8283 10588 False
[vector] 10964 11369 9322 11326 False
[vector] 10224 10552 9604 13324 False
[vector] 11902 10084 9594 11654 False
[vector] 10944 11116 10652 12299 False
[vector] 10649 11197 10177 12257 False
[vector] 10735 10212 10403 12819 False
[vector] 10726 10140 9596 13127 False
[vector] 9480 10664 8894 13434 False
[vector] 12280 8817 8624 11754 False
[vector] 10978 11118 10216 12333 False
[vector] 11208 10506 10166 12841 False
[vector] 10878 10980 9884 12548 False
[vector] 9985 10381 10226 12848 False
[vector] 12215 9550 8168 11928 False
