[nb-items] 20
[nb-objectives] 5
[nb-pareto] 209
[nb-lorenz] 7
[runtime] 0.5537359714508057
[format] f1 f2 f3 f4 f5 isLorenzND
[vector] 6623 5338 7527 7458 5849 True
[vector] 6026 6029 6942 7917 5638 True
[vector] 5720 6189 6956 8067 5910 True
[vector] 6441 5744 6966 8142 5856 True
[vector] 7329 6088 7854 7491 4901 True
[vector] 7263 5952 7086 7740 5117 True
[vector] 5902 5783 7517 7383 5903 True
[vector] 5202 5009 7760 6938 5870 False
[vector] 5771 4347 7580 6457 6135 False
[vector] 6731 5794 7074 7818 5384 False
[vector] 4497 5138 6288 7153 6071 False
[vector] 5772 5216 7892 6382 5353 False
[vector] 6632 5432 7046 7455 5612 False
[vector] 6974 6539 6853 6845 3590 False
[vector] 5960 6085 6217 8104 5245 False
[vector] 6162 5522 6554 8228 5062 False
[vector] 6646 5246 7492 6636 5158 False
[vector] 6865 5008 6923 7109 5791 False
[vector] 5051 5661 7882 6307 5407 False
[vector] 6483 5850 6596 7763 5273 False
[vector] 6732 4848 7434 6847 5561 False
[vector] 5498 5658 7925 5807 4865 False
[vector] 5954 6541 7102 6831 4411 False
[vector] 5508 4849 7746 6788 5598 False
[vector] 5913 5373 7949 6032 5083 False
[vector] 7568 5115 6803 7603 5018 False
[vector] 6055 5781 5678 8312 5411 False
[vector] 6490 4794 5892 8090 5407 False
[vector] 5045 5114 6037 7383 6026 False
[vector] 5293 5058 6515 7438 6137 False
[vector] 6519 6316 7023 7439 4475 False
[vector] 6669 5547 7156 6573 4993 False
[vector] 7572 5735 6749 6643 3681 False
[vector] 5145 5065 6368 7447 6038 False
[vector] 7482 5541 6429 7165 4363 False
[vector] 7378 5138 6780 7439 4452 False
[vector] 5923 4564 7770 7013 5816 False
[vector] 4304 5474 7051 6608 6092 False
[vector] 6261 5478 7390 7665 5109 False
[vector] 6782 6293 6337 7702 4506 False
[vector] 5357 5501 7868 6157 5135 False
[vector] 7569 5984 7115 7528 4236 False
[vector] 7239 5002 6721 7589 5203 False
[vector] 4814 4400 6340 6166 6375 False
[vector] 4632 4746 6389 6470 6437 False
[vector] 6829 5818 5506 7998 4678 False
[vector] 5020 5415 7199 7622 5877 False
[vector] 5738 6154 6758 7433 5134 False
[vector] 6934 6031 7047 7664 4693 False
[vector] 5193 5236 6660 7359 6032 False
[vector] 6773 5649 6493 7485 5287 False
[vector] 6341 6275 7818 6711 4648 False
[vector] 7174 5735 6265 7763 4637 False
[vector] 4854 4268 5702 7294 6242 False
[vector] 6474 5756 7077 7766 5510 False
[vector] 6942 5256 6254 7736 5238 False
[vector] 5010 6224 7378 6641 5144 False
[vector] 7061 4961 7516 6861 5376 False
[vector] 6086 6195 5965 7496 4545 False
[vector] 5790 5014 7835 5755 5228 False
[vector] 6974 4518 6830 6498 5503 False
[vector] 6059 6041 7053 7541 5292 False
[vector] 7136 5468 7384 7788 4510 False
[vector] 6388 6154 7135 7555 5107 False
[vector] 5192 5818 7939 5957 5137 False
[vector] 6629 5314 8097 7046 4868 False
[vector] 6445 6364 6912 7182 4519 False
[vector] 4632 5382 6568 6885 6007 False
[vector] 6543 5712 8155 6835 4465 False
[vector] 7154 6269 7091 7303 4018 False
[vector] 5655 5368 7267 7486 5420 False
[vector] 6354 5301 6280 7779 5983 False
[vector] 6011 6174 6676 7597 4599 False
[vector] 5011 5642 6099 8043 6039 False
[vector] 5955 5638 7404 7815 5381 False
[vector] 5253 5312 5495 7694 5981 False
[vector] 5804 6290 7526 7184 4918 False
[vector] 6273 6355 7100 7111 4563 False
[vector] 5686 5614 7950 6171 4950 False
[vector] 5602 5513 7380 7054 5942 False
[vector] 6829 5762 6850 8155 5197 False
[vector] 6846 4719 6049 7376 5602 False
[vector] 5721 5127 7433 6889 5999 False
[vector] 5230 3942 6285 6268 6528 False
[vector] 6943 6125 6566 7661 4456 False
[vector] 6685 5287 6933 7887 5090 False
[vector] 6641 5806 6825 7791 5112 False
[vector] 4609 5854 7210 6742 5487 False
[vector] 5837 4962 7828 6802 5413 False
[vector] 5912 4504 7637 6107 5865 False
[vector] 6214 5599 8073 6821 4650 False
[vector] 5813 6384 7045 7181 4681 False
[vector] 6536 4895 6841 7095 5976 False
[vector] 4797 4429 6318 6670 6435 False
[vector] 6511 4569 7845 5830 5174 False
[vector] 4942 4630 5262 6892 6439 False
[vector] 6046 5687 6159 8315 5648 False
[vector] 6110 6130 7512 7034 4646 False
[vector] 5504 6020 7389 6855 4957 False
[vector] 5688 5115 7322 7265 6345 False
[vector] 6463 5765 7620 7063 5285 False
[vector] 5665 6262 6422 7205 4675 False
[vector] 4546 5144 6447 6259 6034 False
[vector] 6427 5877 7760 6922 5051 False
[vector] 6455 3964 6387 6183 6046 False
[vector] 6665 5133 7281 6984 5376 False
[vector] 7088 6133 6323 7552 4234 False
[vector] 5888 6405 6334 7080 4627 False
[vector] 5826 4902 7695 5896 5462 False
[vector] 6453 6180 6255 7688 4691 False
[vector] 7481 4672 6117 7240 5145 False
[vector] 6848 6429 7105 7453 4290 False
[vector] 6933 5162 6735 7739 5475 False
[vector] 6780 5596 7063 7616 5238 False
[vector] 4491 4589 6332 6820 6707 False
[vector] 7109 5709 7145 7630 5053 False
[vector] 5631 5972 6135 8090 5430 False
[vector] 7521 5236 7486 6759 4559 False
[vector] 5517 6378 6665 7383 4786 False
[vector] 6322 5608 7563 7413 5555 False
[vector] 5527 5569 6486 8364 5519 False
[vector] 6266 5925 6203 7954 4973 False
[vector] 6918 4863 6810 7541 5269 False
[vector] 5441 5134 7593 6925 5413 False
[vector] 6618 5254 7964 6140 4917 False
[vector] 4997 4366 6408 6614 6349 False
[vector] 6195 5269 6609 8007 5987 False
[vector] 7243 6486 7912 7280 4498 False
[vector] 6536 6332 6414 7374 4594 False
[vector] 4998 4743 5619 7562 6349 False
[vector] 5348 4687 6537 7484 6222 False
[vector] 6132 4153 6379 6837 6378 False
[vector] 5827 5771 8007 5821 4680 False
[vector] 6970 5919 6907 7805 4927 False
[vector] 6590 5591 7472 7679 4924 False
[vector] 6165 4165 6490 6461 6032 False
[vector] 5539 5533 6872 7573 6006 False
[vector] 4163 5317 6994 6958 6362 False
[vector] 6815 4486 7159 6726 5507 False
[vector] 6863 5234 6788 7495 5184 False
[vector] 4818 5022 5629 8340 5648 False
[vector] 7050 5866 7442 7577 4107 False
[vector] 5709 5163 7047 7680 5512 False
[vector] 5108 6192 7154 6978 4957 False
[vector] 5913 6206 6900 7260 4786 False
[vector] 4614 5358 5924 7030 6094 False
[vector] 6692 5225 7929 6324 5078 False
[vector] 6208 5623 7503 7233 5631 False
[vector] 6537 5736 7585 7247 5446 False
[vector] 6011 4926 7330 6611 6013 False
[vector] 6681 5640 6227 8179 5191 False
[vector] 6352 5527 6145 8165 5376 False
[vector] 6450 5838 6485 8139 5619 False
[vector] 5879 6311 6815 7083 4864 False
[vector] 7900 5007 6087 6505 4026 False
[vector] 6402 5681 6992 7804 5569 False
[vector] 6676 5193 7414 7890 5327 False
[vector] 4869 6067 7321 6991 5414 False
[vector] 5823 6218 6651 7233 4514 False
[vector] 6248 5124 6496 8439 5465 False
[vector] 7022 5266 6459 7267 5180 False
[vector] 6134 5652 7538 7049 5470 False
[vector] 6683 5414 6362 7793 5798 False
[vector] 6048 6050 7596 6838 5067 False
[vector] 5828 5812 7552 7199 5742 False
[vector] 7416 5405 5661 7414 4579 False
[vector] 5804 4881 7041 6975 6033 False
[vector] 6868 5895 6279 7913 4909 False
[vector] 5899 4577 6502 7183 6199 False
[vector] 6087 4147 7633 6087 5211 False
[vector] 7175 4832 6131 7390 5417 False
[vector] 4486 5128 7002 6304 6030 False
[vector] 4670 5471 6281 7700 6004 False
[vector] 6012 6162 7736 6697 4833 False
[vector] 5914 6186 6153 7425 4589 False
[vector] 5244 5218 5976 7697 6218 False
[vector] 4311 4868 6342 7598 6006 False
[vector] 7503 5848 6347 7777 4452 False
[vector] 7658 5337 6691 6854 4084 False
[vector] 5945 6447 7583 6834 4648 False
[vector] 4702 4051 5512 6738 6561 False
[vector] 6257 5218 6015 8436 5228 False
[vector] 4304 5534 6441 6988 6037 False
[vector] 6180 4533 7091 6862 5964 False
[vector] 4399 5170 6512 6816 6258 False
[vector] 6895 5954 6274 7749 4462 False
[vector] 6877 5989 5798 7910 4672 False
[vector] 7070 5332 6616 8037 4726 False
[vector] 5983 4571 5929 7145 6039 False
[vector] 4469 5157 6980 6808 6090 False
[vector] 6764 5555 6974 7488 5524 False
[vector] 6579 5531 7339 6773 4973 False
[vector] 5066 6197 6214 7482 5366 False
[vector] 6678 5953 7032 7277 5121 False
[vector] 4938 5967 7292 6756 5302 False
[vector] 5992 4451 8172 5879 5045 False
[vector] 7571 5758 7250 7142 4843 False
[vector] 5326 5255 7185 7472 5605 False
[vector] 6355 6142 7024 7931 5453 False
[vector] 6697 6164 6643 7333 4544 False
[vector] 6916 5089 6675 7927 4662 False
[vector] 6993 5041 6798 7261 5291 False
[vector] 7006 5225 6370 7139 5466 False
[vector] 5741 4970 7209 7697 5823 False
[vector] 5175 5907 7307 6841 5142 False
[vector] 7667 5431 6210 6851 3847 False
[vector] 4258 5013 6455 7166 6528 False
[vector] 7322 5154 6880 7275 5106 False
[vector] 5833 5409 6472 8214 5247 False
