[nb-items] 80
[nb-objectives] 2
[nb-pareto] 81
[nb-lorenz] 15
[runtime] 4.861062049865723
[format] f1 f2 isLorenzND
[vector] 32961 31253 True
[vector] 33362 31008 True
[vector] 33223 31095 True
[vector] 32410 31615 True
[vector] 33523 30902 True
[vector] 32741 31414 True
[vector] 33156 31129 True
[vector] 34005 30583 True
[vector] 34144 30496 True
[vector] 32038 31762 True
[vector] 33938 30617 True
[vector] 33192 31103 True
[vector] 31888 31820 True
[vector] 32613 31518 True
[vector] 33395 31006 True
[vector] 31671 31857 False
[vector] 35245 27998 False
[vector] 34382 30085 False
[vector] 31272 32028 False
[vector] 31737 31841 False
[vector] 35351 27301 False
[vector] 30499 32285 False
[vector] 35015 28792 False
[vector] 35064 28535 False
[vector] 34877 29087 False
[vector] 28447 32545 False
[vector] 30611 32212 False
[vector] 34923 29005 False
[vector] 34569 29660 False
[vector] 32109 31648 False
[vector] 30241 32352 False
[vector] 34842 29400 False
[vector] 34542 29874 False
[vector] 35465 27136 False
[vector] 33625 30715 False
[vector] 29573 32402 False
[vector] 34009 30503 False
[vector] 34872 29111 False
[vector] 34932 28945 False
[vector] 31462 32013 False
[vector] 35493 26184 False
[vector] 34636 29642 False
[vector] 28720 32540 False
[vector] 35337 27413 False
[vector] 32751 31361 False
[vector] 35397 27229 False
[vector] 34206 30137 False
[vector] 33703 30663 False
[vector] 28052 32590 False
[vector] 35263 27607 False
[vector] 33227 31015 False
[vector] 32125 31636 False
[vector] 29553 32495 False
[vector] 34852 29119 False
[vector] 32771 31268 False
[vector] 29763 32387 False
[vector] 35290 27572 False
[vector] 31528 31929 False
[vector] 34775 29539 False
[vector] 32620 31446 False
[vector] 30598 32263 False
[vector] 35255 27717 False
[vector] 35077 28519 False
[vector] 35029 28680 False
[vector] 35226 28477 False
[vector] 29618 32388 False
[vector] 35091 28484 False
[vector] 27114 32622 False
[vector] 34555 29858 False
[vector] 31252 32121 False
[vector] 33564 30780 False
[vector] 33402 30934 False
[vector] 34330 30136 False
[vector] 34195 30143 False
[vector] 34507 30019 False
[vector] 30895 32210 False
[vector] 34176 30206 False
[vector] 35489 26644 False
[vector] 33659 30694 False
[vector] 33711 30643 False
[vector] 34946 28833 False
