[nb-items] 40
[nb-objectives] 3
[nb-pareto] 375
[nb-lorenz] 35
[runtime] 7.862924098968506
[format] f1 f2 f3 isLorenzND
[vector] 14411 12845 13399 True
[vector] 16343 11538 15101 True
[vector] 13737 12943 13571 True
[vector] 14684 12669 14312 True
[vector] 14401 12736 13797 True
[vector] 14842 12274 14941 True
[vector] 15178 12240 14924 True
[vector] 15660 11830 15178 True
[vector] 13786 12817 13879 True
[vector] 16207 11385 15358 True
[vector] 15811 11769 15233 True
[vector] 15418 11753 15371 True
[vector] 15052 12507 14277 True
[vector] 16680 11257 15312 True
[vector] 15774 11681 15351 True
[vector] 13180 13118 13314 True
[vector] 13148 13231 13184 True
[vector] 16354 11681 14816 True
[vector] 16067 10951 15860 True
[vector] 15958 12065 14691 True
[vector] 14442 12882 13013 True
[vector] 13370 13080 13552 True
[vector] 13401 13117 13166 True
[vector] 15546 11656 15383 True
[vector] 13202 13098 13520 True
[vector] 14350 12727 13849 True
[vector] 16479 11360 15168 True
[vector] 14516 12687 14280 True
[vector] 16529 11318 15257 True
[vector] 14285 12805 13514 True
[vector] 14465 12678 14332 True
[vector] 14998 12277 14534 True
[vector] 13810 12875 13659 True
[vector] 14180 12721 14297 True
[vector] 14254 12768 13900 True
[vector] 13251 13168 12512 False
[vector] 14979 12656 13152 False
[vector] 17207 10553 14701 False
[vector] 16384 11420 14861 False
[vector] 14275 12001 15174 False
[vector] 16154 11626 14888 False
[vector] 14235 12446 14435 False
[vector] 16803 11004 15065 False
[vector] 11742 13072 13553 False
[vector] 16138 11879 13375 False
[vector] 14787 12606 13640 False
[vector] 15179 12321 13982 False
[vector] 12687 13035 13560 False
[vector] 14756 12569 14026 False
[vector] 11572 13465 12446 False
[vector] 15348 11880 14881 False
[vector] 17421 9870 13814 False
[vector] 13788 12096 15136 False
[vector] 12814 12959 13790 False
[vector] 12751 12851 14123 False
[vector] 14833 12595 13250 False
[vector] 16080 11439 15274 False
[vector] 11793 13480 11946 False
[vector] 15251 12254 13686 False
[vector] 15284 12208 14322 False
[vector] 13817 12854 13493 False
[vector] 11336 13469 12434 False
[vector] 13960 11930 15235 False
[vector] 13503 12833 13858 False
[vector] 10397 13674 11646 False
[vector] 12541 13346 12227 False
[vector] 16836 10875 15078 False
[vector] 17288 10135 14668 False
[vector] 14336 11265 15749 False
[vector] 16135 11942 14034 False
[vector] 15596 11908 14825 False
[vector] 15695 12155 13085 False
[vector] 15274 12210 14477 False
[vector] 14352 11061 15905 False
[vector] 13839 11289 15838 False
[vector] 14200 11693 15476 False
[vector] 16795 10346 15153 False
[vector] 13009 11713 15533 False
