[nb-items] 50
[nb-objectives] 3
[nb-pareto] 721
[nb-lorenz] 27
[runtime] 61.28275203704834
[format] f1 f2 f3 isLorenzND
[vector] 19389 18137 15242 True
[vector] 20569 16621 16034 True
[vector] 20856 17869 14868 True
[vector] 18245 16438 16436 True
[vector] 19254 17470 15775 True
[vector] 19798 17127 15982 True
[vector] 19973 17007 15962 True
[vector] 21560 17247 15189 True
[vector] 19119 17502 15816 True
[vector] 20991 17296 15383 True
[vector] 18785 17960 15415 True
[vector] 19649 16895 16210 True
[vector] 19012 16589 16409 True
[vector] 20183 17025 15930 True
[vector] 18804 17165 16110 True
[vector] 21138 17153 15428 True
[vector] 21257 16965 15609 True
[vector] 20835 16385 16026 True
[vector] 19140 17131 16093 True
[vector] 19616 16766 16236 True
[vector] 19502 17038 16165 True
[vector] 20524 17171 15881 True
[vector] 20443 16436 16130 True
[vector] 19904 16550 16434 True
[vector] 20149 16836 16068 True
[vector] 18523 17450 15865 True
[vector] 18584 17534 15794 True
[vector] 20291 18377 13369 False
[vector] 20534 16111 16071 False
[vector] 19768 16802 16157 False
[vector] 20994 17967 14314 False
[vector] 19406 18407 14448 False
[vector] 21426 17583 14519 False
[vector] 20278 17497 15308 False
[vector] 16578 19240 12301 False
[vector] 20937 17647 14902 False
[vector] 18034 19099 12742 False
[vector] 19992 17597 15421 False
[vector] 20960 17933 14593 False
[vector] 15746 19242 12159 False
[vector] 16934 18991 13510 False
[vector] 19195 18307 14807 False
[vector] 21979 17056 14368 False
[vector] 18668 13562 17244 False
[vector] 17612 13270 17451 False
[vector] 21312 18090 13444 False
[vector] 18594 15510 16867 False
[vector] 17533 18946 13650 False
[vector] 21768 16378 15347 False
[vector] 19517 15743 16615 False
[vector] 19448 18300 14512 False
[vector] 17676 18176 15045 False
[vector] 21950 15876 15367 False
[vector] 18155 14777 17125 False
[vector] 18038 18713 14035 False
[vector] 21311 17820 14501 False
[vector] 20900 14441 16150 False
[vector] 20174 17433 15583 False
[vector] 19469 17545 15538 False
[vector] 20948 16289 15917 False
[vector] 17101 18832 13798 False
[vector] 19899 18622 13581 False
[vector] 17956 18168 14980 False
[vector] 18606 15068 17030 False
[vector] 18177 15978 16613 False
[vector] 18888 18233 14810 False
[vector] 18629 16408 16454 False
[vector] 22070 15530 15242 False
[vector] 21154 17277 15045 False
[vector] 18750 18587 14093 False
[vector] 20127 16302 16177 False
[vector] 21987 16394 14955 False
[vector] 21768 18070 13580 False
[vector] 21961 16624 14933 False
[vector] 21314 17573 14616 False
[vector] 22607 15566 14688 False
[vector] 18513 18929 13250 False
[vector] 20456 17985 14578 False
[vector] 20882 16144 15974 False
[vector] 21202 18117 12977 False
[vector] 21621 15951 15452 False
[vector] 21207 17877 14109 False
[vector] 22489 14999 15118 False
[vector] 18173 18679 14007 False
[vector] 19640 18677 13357 False
[vector] 19728 18010 14876 False
[vector] 21427 17477 14507 False
[vector] 21582 16956 15050 False
[vector] 16671 13153 17506 False
[vector] 22076 15769 15232 False
[vector] 19579 18082 14923 False
[vector] 22624 16052 14176 False
[vector] 17691 14411 17210 False
[vector] 20134 17495 15335 False
[vector] 20479 16019 16196 False
[vector] 20747 16923 15624 False
[vector] 18855 14920 17031 False
[vector] 19881 15191 16619 False
[vector] 20583 18337 14119 False
[vector] 19961 17689 15232 False
[vector] 17739 19160 12691 False
[vector] 18873 14065 17046 False
[vector] 18995 13967 17042 False
[vector] 19593 18636 13857 False
[vector] 18860 14287 17032 False
[vector] 20763 16818 15615 False
[vector] 19854 18274 14484 False
[vector] 16628 18792 13972 False
[vector] 18890 18178 14845 False
[vector] 19279 18164 14775 False
[vector] 22038 15847 15164 False
[vector] 21748 17604 13654 False
[vector] 17475 18301 15036 False
[vector] 20518 15951 16393 False
[vector] 19846 18033 14798 False
[vector] 20762 18286 13736 False
[vector] 21257 17060 15375 False
[vector] 16715 19314 12144 False
[vector] 19621 18054 14772 False
[vector] 22924 16450 14082 False
[vector] 19397 18323 14560 False
[vector] 18104 18691 14008 False
[vector] 20851 15444 16230 False
[vector] 21177 18156 13831 False
[vector] 21841 17091 14633 False
[vector] 18904 18732 13779 False
[vector] 20078 15131 16666 False
[vector] 21994 16931 14580 False
[vector] 22209 16939 14297 False
[vector] 18216 18658 14268 False
[vector] 21657 16471 15313 False
[vector] 20732 17994 14272 False
[vector] 21217 17906 13661 False
[vector] 19536 16072 16489 False
[vector] 20274 18218 14633 False
[vector] 21693 17241 14499 False
[vector] 20631 15950 16050 False
[vector] 22134 16251 15000 False
[vector] 20231 16694 16021 False
[vector] 19949 16000 16587 False
[vector] 21902 16757 14947 False
[vector] 21480 16231 15530 False
[vector] 20123 18566 13607 False
[vector] 21307 16708 15577 False
[vector] 18112 19075 12924 False
[vector] 19548 18174 14734 False
[vector] 19106 18748 13532 False
[vector] 20207 18574 13172 False
[vector] 19762 15284 16672 False
[vector] 20252 16282 16167 False
[vector] 19123 18887 13110 False
[vector] 18152 18817 13672 False
[vector] 18244 16364 16525 False
[vector] 20897 18164 13896 False
[vector] 21709 17239 14677 False
[vector] 22017 17497 14268 False
[vector] 20446 16235 16040 False
[vector] 19060 15423 16833 False
[vector] 20125 16379 16173 False
[vector] 18554 18212 14862 False
[vector] 19557 17752 15355 False
[vector] 18256 15922 16688 False
[vector] 22507 16918 13828 False
[vector] 20985 16076 15895 False
[vector] 23151 14742 13106 False
[vector] 20253 16153 16207 False
[vector] 19185 16581 16246 False
[vector] 21888 16942 14774 False
[vector] 18434 18983 13032 False
[vector] 19060 18216 14833 False
[vector] 19415 17955 15059 False
[vector] 19724 18685 12922 False
[vector] 22452 15227 14855 False
[vector] 18899 18388 14571 False
[vector] 20800 15875 16063 False
[vector] 20238 18482 13361 False
[vector] 17602 18144 15119 False
[vector] 21921 17197 14473 False
[vector] 20788 17415 15130 False
[vector] 16422 18771 13989 False
[vector] 18344 18665 14077 False
[vector] 20862 18292 13127 False
[vector] 21831 15483 15598 False
[vector] 16077 19336 11869 False
[vector] 21142 14971 16069 False
[vector] 20183 17773 14928 False
[vector] 20961 18082 14203 False
[vector] 19578 17843 15156 False
[vector] 22973 15316 14430 False
[vector] 20608 17179 15446 False
[vector] 20913 15779 15954 False
[vector] 18488 18783 13655 False
[vector] 20600 17066 15579 False
[vector] 19767 17770 15323 False
[vector] 20667 18345 13684 False
[vector] 17838 18873 13671 False
[vector] 22036 16139 15196 False
[vector] 19034 18851 13296 False
[vector] 20140 16249 16316 False
[vector] 19808 16243 16437 False
[vector] 17697 14825 17105 False
[vector] 21575 15952 15639 False
[vector] 21052 17563 14656 False
[vector] 17896 19001 13296 False
[vector] 18514 18592 14144 False
[vector] 18014 18642 14515 False
[vector] 21313 15755 15765 False
[vector] 16904 19118 12966 False
[vector] 20991 16715 15795 False
[vector] 21645 17667 14326 False
[vector] 20719 17125 15435 False
[vector] 20738 17091 15574 False
