[nb-items] 60
[nb-objectives] 3
[nb-pareto] 646
[nb-lorenz] 11
[runtime] 51.815309047698975
[format] f1 f2 f3 isLorenzND
[vector] 23858 22586 22784 True
[vector] 23602 23307 22500 True
[vector] 23427 22880 22828 True
[vector] 23216 22993 22865 True
[vector] 23030 22904 22907 True
[vector] 24010 22940 22478 True
[vector] 23324 23168 22661 True
[vector] 23069 22820 23108 True
[vector] 23058 23158 22822 True
[vector] 24290 23054 22086 True
[vector] 22993 23359 22772 True
[vector] 22160 21700 23617 False
[vector] 21046 23450 23050 False
[vector] 22832 21316 23350 False
[vector] 23479 19686 23152 False
[vector] 22386 22254 23519 False
[vector] 22489 23611 22501 False
[vector] 22782 22405 23283 False
[vector] 24482 21910 22197 False
[vector] 19972 21184 24359 False
[vector] 21925 20339 23997 False
[vector] 23702 21260 23028 False
[vector] 20343 21023 24317 False
[vector] 24209 22390 22456 False
[vector] 22257 23999 21827 False
[vector] 24691 22917 21095 False
[vector] 22230 24044 21702 False
[vector] 23917 21032 22761 False
[vector] 24164 22102 22525 False
[vector] 22837 22910 23029 False
[vector] 23392 23739 21468 False
[vector] 23101 21512 23271 False
[vector] 23339 22306 23049 False
[vector] 22255 24045 21657 False
[vector] 22463 21032 23560 False
[vector] 21255 19832 24134 False
[vector] 20836 21813 24091 False
[vector] 21130 21866 24057 False
[vector] 21502 23232 23359 False
[vector] 25312 22342 20765 False
[vector] 22257 23350 22851 False
[vector] 22531 20968 23560 False
[vector] 24737 22846 20598 False
[vector] 20427 22072 24122 False
[vector] 22085 23744 22585 False
[vector] 22336 23884 22225 False
[vector] 24324 22848 21887 False
[vector] 23648 23461 22167 False
[vector] 21386 23737 22708 False
[vector] 21902 23250 23134 False
[vector] 22482 20178 23671 False
[vector] 21131 20305 24304 False
[vector] 23581 22042 22875 False
[vector] 22265 23081 23126 False
[vector] 20737 22964 23723 False
[vector] 22493 23731 22191 False
[vector] 22960 23217 22836 False
[vector] 21830 22592 23640 False
[vector] 23218 21714 23138 False
[vector] 22910 21100 23363 False
[vector] 21894 24168 21835 False
[vector] 21724 23169 23188 False
[vector] 22939 21952 23211 False
[vector] 20772 23491 22970 False
[vector] 23776 23536 21743 False
[vector] 22474 23079 23037 False
[vector] 20923 24010 22193 False
[vector] 22749 22915 23013 False
[vector] 23308 23731 21903 False
[vector] 20814 23867 22420 False
[vector] 24641 22858 21758 False
[vector] 22499 23572 22682 False
[vector] 22099 22333 23512 False
[vector] 19721 20762 24483 False
[vector] 21894 23519 22859 False
[vector] 24370 21808 22551 False
[vector] 22548 23924 21990 False
[vector] 22706 22944 22947 False
[vector] 24442 22565 22136 False
[vector] 21199 20995 24189 False
[vector] 23239 22979 22763 False
[vector] 23531 22089 22957 False
[vector] 21825 21372 23900 False
[vector] 23819 23358 21904 False
[vector] 22392 23714 22333 False
[vector] 21249 20948 24107 False
[vector] 21607 21225 23955 False
[vector] 23289 22932 22681 False
[vector] 19733 21385 24342 False
[vector] 22901 23951 21455 False
[vector] 22521 20845 23587 False
[vector] 19971 20149 24551 False
[vector] 23904 21813 22654 False
