[nb-items] 50
[nb-objectives] 3
[nb-pareto] 537
[nb-lorenz] 34
[runtime] 37.72095274925232
[format] f1 f2 f3 isLorenzND
[vector] 18335 16800 17969 True
[vector] 17977 16981 17745 True
[vector] 17989 17101 17396 True
[vector] 18807 16301 18803 True
[vector] 19014 16163 19016 True
[vector] 19804 15604 19319 True
[vector] 19039 16764 17465 True
[vector] 19431 16479 17807 True
[vector] 19291 15832 19252 True
[vector] 19082 16430 18245 True
[vector] 20833 14927 19033 True
[vector] 19482 16488 17755 True
[vector] 18210 16760 18066 True
[vector] 19008 16727 17851 True
[vector] 18239 16694 18429 True
[vector] 19448 15676 19339 True
[vector] 18432 16609 18434 True
[vector] 19199 16312 18413 True
[vector] 18813 16619 18097 True
[vector] 19028 16300 18655 True
[vector] 17429 17323 17372 True
[vector] 19179 16239 18710 True
[vector] 20144 16041 18399 True
[vector] 17622 17238 17377 True
[vector] 19554 15931 19079 True
[vector] 19264 15836 19256 True
[vector] 18710 16492 18338 True
[vector] 19584 16263 18375 True
[vector] 18431 16759 17918 True
[vector] 19755 16357 18127 True
[vector] 18917 16354 18551 True
[vector] 18542 16662 18182 True
[vector] 18799 16472 18453 True
[vector] 18142 16885 17964 True
[vector] 21382 14962 17451 False
[vector] 20562 15305 18796 False
[vector] 17786 14438 20011 False
[vector] 17754 16285 18909 False
[vector] 15474 17525 16977 False
[vector] 16491 17166 17422 False
[vector] 21118 15057 17684 False
[vector] 16637 17484 16450 False
[vector] 20423 15746 17246 False
[vector] 18806 15520 19465 False
[vector] 18219 16919 16999 False
[vector] 16079 16718 18371 False
[vector] 19294 14466 19753 False
[vector] 18166 15703 19359 False
[vector] 21318 15112 17612 False
[vector] 16274 17351 17019 False
[vector] 19239 15950 18712 False
[vector] 17577 16300 18935 False
[vector] 17308 15086 19751 False
[vector] 15692 16913 18249 False
[vector] 21061 14890 18600 False
[vector] 20211 14418 19369 False
[vector] 19269 16192 18436 False
[vector] 16961 17127 17462 False
[vector] 18906 16206 18781 False
[vector] 20632 14744 19048 False
[vector] 17873 16203 19057 False
[vector] 15485 17390 17238 False
[vector] 14409 17700 16305 False
[vector] 16092 17605 15512 False
[vector] 20922 15496 17487 False
[vector] 17398 16357 18929 False
[vector] 17294 14561 19988 False
[vector] 20165 15865 18002 False
[vector] 20111 15735 18412 False
[vector] 19081 15175 19678 False
[vector] 20350 15265 18937 False
[vector] 20412 14601 19354 False
[vector] 18892 16468 18007 False
[vector] 21798 13591 17611 False
[vector] 16368 16603 18532 False
[vector] 17538 16854 17999 False
[vector] 17997 16930 17746 False
[vector] 18331 15082 19743 False
[vector] 18089 16511 18545 False
[vector] 18518 15441 19593 False
[vector] 16906 16301 19016 False
[vector] 17875 17000 17429 False
[vector] 21082 14814 18356 False
[vector] 16143 17160 17646 False
[vector] 18092 17038 16724 False
[vector] 17407 16803 18204 False
[vector] 15938 17740 15886 False
[vector] 21178 14678 18114 False
[vector] 19180 14445 19964 False
[vector] 15115 17874 15531 False
[vector] 14423 17853 15592 False
[vector] 20437 15311 18908 False
[vector] 18751 16064 19189 False
[vector] 14194 17934 15094 False
[vector] 19103 16276 18552 False
[vector] 16575 16465 18745 False
[vector] 19510 16376 17226 False
[vector] 20400 15223 19026 False
[vector] 20279 15444 18209 False
[vector] 17874 17150 16913 False
[vector] 20204 15680 18376 False
[vector] 18897 14694 19827 False
[vector] 15882 16648 18600 False
[vector] 15442 17638 16847 False
[vector] 18061 17001 17110 False
[vector] 18133 16439 18689 False
[vector] 18069 16356 18848 False
[vector] 21603 14158 17471 False
[vector] 19458 16001 18637 False
[vector] 18005 15669 19526 False
[vector] 15269 17347 17314 False
[vector] 20008 15640 18564 False
[vector] 20886 15253 18159 False
[vector] 16978 17076 17975 False
[vector] 20359 15781 18122 False
[vector] 19715 16119 18287 False
[vector] 15846 17557 16348 False
[vector] 18963 15364 19552 False
[vector] 20206 15997 17554 False
[vector] 21782 13838 17167 False
[vector] 16625 17161 17479 False
[vector] 17315 17222 17405 False
[vector] 16492 17330 17221 False
[vector] 16345 17162 17492 False
[vector] 16631 16702 18359 False
[vector] 14202 17838 16092 False
[vector] 17714 16819 18176 False
[vector] 16795 16837 18100 False
[vector] 16020 17705 15798 False
[vector] 18587 16558 18129 False
[vector] 20490 15637 18034 False
[vector] 19629 16145 18158 False
[vector] 16699 16878 18151 False
[vector] 18993 16302 18484 False
[vector] 18229 16131 19037 False
[vector] 22082 13094 17019 False
[vector] 15249 17848 16087 False
[vector] 21485 14418 18159 False
[vector] 15989 17668 16184 False
[vector] 20917 14017 18924 False
[vector] 20895 14105 18854 False
[vector] 17547 16423 18696 False
[vector] 16381 17124 17659 False
[vector] 18028 16784 17997 False
[vector] 17262 16229 18996 False
[vector] 22015 13081 17370 False
[vector] 21418 14405 18510 False
[vector] 19876 15504 19033 False
[vector] 17702 15251 19706 False
[vector] 18425 15680 19347 False
[vector] 19048 16578 17126 False
[vector] 21523 14228 18222 False
[vector] 17676 13457 20060 False
[vector] 21931 13326 16757 False
[vector] 17144 17096 17649 False
[vector] 19113 16068 18994 False
[vector] 18326 16354 18694 False
[vector] 20178 14988 19169 False
[vector] 15824 17623 16271 False
[vector] 15821 17331 17302 False
[vector] 15369 17725 15894 False
[vector] 20879 14207 18861 False
[vector] 15927 16161 19122 False
[vector] 17432 17276 17139 False
[vector] 15985 17466 17043 False
[vector] 20950 15103 17998 False
[vector] 17538 16994 17577 False
[vector] 16911 16431 18728 False
[vector] 16028 16879 18232 False
[vector] 15205 16987 18048 False
[vector] 20936 15211 18248 False
[vector] 19133 15605 19400 False
[vector] 21175 14741 18773 False
[vector] 20460 14282 19293 False
[vector] 15639 17695 16135 False
[vector] 21798 14000 16958 False
[vector] 14979 17894 15494 False
[vector] 17503 17326 16337 False
[vector] 18906 16370 18338 False
[vector] 19881 16131 16793 False
[vector] 17035 17158 17417 False
[vector] 16030 16733 18309 False
[vector] 20225 15586 18585 False
[vector] 19013 15322 19641 False
[vector] 18361 15597 19506 False
[vector] 18472 16805 16981 False
[vector] 16950 16157 19114 False
[vector] 18546 16360 18454 False
[vector] 16810 16824 18255 False
[vector] 21088 15236 17231 False
[vector] 17491 16848 18042 False
[vector] 20526 14947 18867 False
[vector] 18844 14854 19810 False
[vector] 15103 17530 17059 False
[vector] 18436 15993 19250 False
[vector] 21760 14190 16895 False
[vector] 18262 16876 17039 False
[vector] 18852 15985 19118 False
[vector] 17116 13679 20036 False
[vector] 21585 13406 18043 False
[vector] 18144 16988 17215 False
[vector] 20668 15273 18217 False
[vector] 18078 16363 18775 False
[vector] 15809 17641 16444 False
[vector] 17597 15837 19341 False
[vector] 20662 14969 18706 False
[vector] 20595 15113 18800 False
[vector] 17971 14539 19999 False
[vector] 18667 14673 19897 False
[vector] 18285 16225 18988 False
[vector] 17877 13640 20045 False
[vector] 16579 16781 18308 False
[vector] 20455 14679 19302 False
[vector] 16663 17392 16985 False
[vector] 20990 15341 17838 False
[vector] 21612 14595 17279 False
[vector] 19067 16652 16936 False
[vector] 17737 14050 20027 False
[vector] 15913 16912 18101 False
[vector] 17314 17372 16889 False
[vector] 20688 15029 18637 False
[vector] 15907 16933 18009 False
[vector] 15478 17222 17428 False
[vector] 20540 15595 18123 False
[vector] 17690 15598 19587 False
[vector] 20656 15649 16540 False
[vector] 20698 14343 19039 False
[vector] 21014 14996 18082 False
[vector] 16665 15104 19796 False
[vector] 15135 17747 16120 False
[vector] 20199 15497 18675 False
[vector] 18145 16838 17731 False
[vector] 18873 16474 18103 False
[vector] 16472 17580 16231 False
[vector] 20077 15624 18618 False
[vector] 17661 16524 18663 False
[vector] 16776 16851 18079 False
[vector] 17699 16394 18809 False
[vector] 19635 16045 18420 False
[vector] 16017 17353 17173 False
[vector] 19457 16122 18614 False
[vector] 21693 14177 17246 False
[vector] 20617 14761 19072 False
[vector] 14723 17707 16244 False
[vector] 18379 15229 19717 False
[vector] 21848 13958 17047 False
[vector] 18226 15668 19378 False
[vector] 16680 17460 15982 False
[vector] 17789 15503 19565 False
[vector] 15815 17352 17210 False
[vector] 19074 14648 19783 False
[vector] 18096 16999 17281 False
[vector] 17482 15732 19482 False
[vector] 18135 15521 19546 False
[vector] 20310 15781 18143 False
[vector] 17874 16820 17982 False
[vector] 17356 16794 18256 False
[vector] 18565 13893 20033 False
[vector] 17856 14552 19993 False
[vector] 16021 17555 16314 False
[vector] 14316 17600 16857 False
[vector] 18684 14395 19999 False
[vector] 17759 16715 18123 False
[vector] 15516 17757 15783 False
[vector] 18798 15997 19055 False
[vector] 21480 13583 18331 False
[vector] 17471 16886 18045 False
[vector] 19185 15968 18708 False
[vector] 19162 15388 19408 False
[vector] 17302 16701 18278 False
[vector] 21754 13926 17733 False
[vector] 17840 16399 18762 False
[vector] 19097 14616 19862 False
[vector] 20150 15550 18786 False
[vector] 18620 15833 19333 False
[vector] 19868 15675 18683 False
[vector] 19319 15292 19532 False
[vector] 21820 13648 17230 False
[vector] 18028 16967 17360 False
[vector] 20083 15366 19246 False
[vector] 17827 16814 18025 False
[vector] 19092 16371 18019 False
[vector] 17653 15931 19292 False
[vector] 18940 14772 19775 False
[vector] 18390 16714 17960 False
[vector] 18413 16804 17324 False
[vector] 18698 15251 19702 False
[vector] 18184 17011 16980 False
[vector] 17443 17141 17400 False
[vector] 18860 16581 17877 False
[vector] 20288 14835 19164 False
[vector] 20341 14828 19129 False
[vector] 20604 15488 18207 False
[vector] 16288 16604 18470 False
[vector] 16635 16086 19175 False
[vector] 17200 16941 17991 False
[vector] 21340 14760 17884 False
[vector] 16915 16747 18291 False
[vector] 13980 17989 15724 False
[vector] 17492 16970 17808 False
[vector] 18442 16069 19075 False
[vector] 17056 16412 18854 False
[vector] 21537 14559 17480 False
[vector] 20121 15352 18896 False
[vector] 19964 15439 18954 False
[vector] 15310 17392 17272 False
[vector] 16199 17472 16844 False
[vector] 20205 15006 19062 False
[vector] 18320 16375 18602 False
[vector] 20615 14963 18749 False
[vector] 15810 17491 16960 False
[vector] 20172 15929 17870 False
[vector] 18274 15815 19352 False
[vector] 18649 15616 19341 False
[vector] 21529 14228 17586 False
[vector] 18110 15083 19891 False
[vector] 17588 16940 17779 False
[vector] 21909 13284 17189 False
[vector] 21312 14608 18329 False
[vector] 18451 16515 18350 False
[vector] 16155 17200 17439 False
[vector] 15821 17686 16152 False
[vector] 18185 15479 19635 False
[vector] 18908 15908 19276 False
[vector] 21064 14954 18171 False
[vector] 16474 16858 18272 False
[vector] 21092 14801 17776 False
[vector] 20249 15455 18764 False
[vector] 19878 16104 17880 False
[vector] 18491 15449 19526 False
[vector] 15321 17748 15801 False
[vector] 20601 14983 18666 False
[vector] 19443 16144 18477 False
[vector] 16093 17214 17444 False
[vector] 18982 15837 19138 False
[vector] 18530 15094 19712 False
[vector] 21615 14292 16499 False
[vector] 15250 17698 16603 False
[vector] 21548 14702 17195 False
[vector] 17856 16238 18896 False
[vector] 18883 16402 18259 False
[vector] 20420 15847 18112 False
[vector] 17710 17188 16550 False
[vector] 19833 15693 19006 False
[vector] 21616 14098 17423 False
[vector] 19922 15806 18542 False
[vector] 17285 17108 17595 False
[vector] 17431 17426 16623 False
[vector] 18623 14855 19958 False
[vector] 16045 17638 15771 False
[vector] 19618 16002 18443 False
[vector] 16028 17193 17515 False
[vector] 20479 15772 17197 False
[vector] 20543 15594 17865 False
[vector] 18537 16759 17769 False
[vector] 21332 15004 17362 False
[vector] 13806 17841 16274 False
[vector] 20014 15397 19043 False
[vector] 15664 17487 17215 False
[vector] 17285 15096 19736 False
[vector] 18369 16868 17653 False
[vector] 18825 14514 19879 False
[vector] 21024 14973 18511 False
[vector] 20653 15622 17627 False
[vector] 21498 14744 17106 False
[vector] 18080 16065 19270 False
[vector] 16031 17350 17234 False
[vector] 19369 15250 19621 False
[vector] 17862 16494 18635 False
[vector] 18633 16773 17420 False
[vector] 19380 15967 18685 False
[vector] 21335 14576 18408 False
[vector] 17314 17042 17958 False
[vector] 20147 15978 17740 False
[vector] 19258 16094 18628 False
[vector] 14936 17812 16172 False
[vector] 17795 15012 19952 False
[vector] 18441 16723 17908 False
[vector] 17061 17470 15645 False
[vector] 19829 15970 18460 False
[vector] 17507 16957 17963 False
[vector] 16039 17179 17584 False
[vector] 18250 16956 16613 False
[vector] 18541 15407 19615 False
[vector] 20925 15068 18533 False
[vector] 16364 17159 17498 False
[vector] 21865 13604 17260 False
