[nb-items] 30
[nb-objectives] 3
[nb-pareto] 67
[nb-lorenz] 1
[runtime] 0.508958101272583
[format] f1 f2 f3 isLorenzND
[vector] 11044 11254 10984 True
[vector] 10775 11307 9925 False
[vector] 10470 9467 11272 False
[vector] 11930 10283 9518 False
[vector] 11992 9573 9950 False
[vector] 11597 10498 10311 False
[vector] 10318 11331 10076 False
[vector] 11955 9736 10104 False
[vector] 10291 10625 11340 False
[vector] 11614 10484 10484 False
[vector] 11753 10970 9878 False
[vector] 11843 10459 10234 False
[vector] 11139 10950 10445 False
[vector] 12132 10185 9474 False
[vector] 11428 10744 10210 False
[vector] 11538 9673 10608 False
[vector] 11890 10469 9648 False
[vector] 10409 11301 10916 False
[vector] 11362 10582 10310 False
[vector] 11361 11179 10148 False
[vector] 11748 10695 10248 False
[vector] 9912 11353 9758 False
[vector] 11899 10563 9167 False
[vector] 11902 10084 9594 False
[vector] 10377 10227 11282 False
[vector] 12094 10222 9498 False
[vector] 9373 11359 9656 False
[vector] 11021 10728 11255 False
[vector] 12160 10384 9398 False
[vector] 12738 8885 8283 False
[vector] 9849 9464 11414 False
[vector] 9390 11345 9829 False
[vector] 12156 9512 9930 False
[vector] 10638 11276 10666 False
[vector] 11372 10526 10322 False
[vector] 11862 10270 9724 False
[vector] 11927 9537 10180 False
[vector] 11841 9935 10238 False
[vector] 12184 9711 9854 False
[vector] 10558 11391 9004 False
[vector] 11804 10867 9706 False
[vector] 12473 9437 9094 False
[vector] 11387 10804 10210 False
[vector] 12020 9772 9874 False
[vector] 11932 9812 9810 False
[vector] 11776 10894 10172 False
[vector] 11935 10463 8591 False
[vector] 11854 10544 9412 False
[vector] 11359 10831 10676 False
[vector] 10964 11369 9322 False
[vector] 12309 9498 9114 False
[vector] 11753 10368 10443 False
[vector] 11107 10330 11197 False
[vector] 11336 10305 10947 False
[vector] 11869 10134 10162 False
[vector] 12197 9406 9500 False
[vector] 10369 11329 9607 False
[vector] 9921 11447 9277 False
[vector] 12195 9632 9365 False
[vector] 12066 10023 9574 False
[vector] 11452 10071 10666 False
[vector] 12508 10308 8970 False
[vector] 9755 11309 10174 False
[vector] 12091 10245 9474 False
[vector] 11349 9512 10728 False
[vector] 12119 10444 9398 False
[vector] 11130 10856 10926 False
