[nb-items] 35
[nb-objectives] 6
[nb-pareto] 5332
[nb-lorenz] 29
[runtime] 639.4042119979858
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 12180 13531 11486 14391 10730 11654 True
[vector] 13231 13498 11299 15532 10099 11377 True
[vector] 11590 12565 12249 13914 11123 11736 True
[vector] 12720 11910 11349 14560 11084 11610 True
[vector] 11941 12363 11316 14337 11147 11556 True
[vector] 12280 12436 11983 14370 11064 11107 True
[vector] 11540 12717 12172 13461 11253 11432 True
[vector] 12489 13340 12232 13850 9869 11975 True
[vector] 11245 13308 11281 14198 11226 11474 True
[vector] 12563 12662 11894 14068 10732 11803 True
[vector] 12392 12638 12011 14698 10739 11724 True
[vector] 11125 13002 12148 13236 11035 12307 True
[vector] 12036 12950 11948 14395 11141 11180 True
[vector] 11295 13156 11358 14651 11096 11778 True
[vector] 11162 12496 11331 14463 11261 11866 True
[vector] 12395 13231 11930 14776 10642 11673 True
[vector] 12496 13407 10899 15883 10322 11643 True
[vector] 11829 12443 11412 13268 11507 11433 True
[vector] 11846 12557 12158 13311 10981 11672 True
[vector] 11879 12291 11489 13721 11377 11737 True
[vector] 11896 12405 12235 13764 10851 11976 True
[vector] 11918 11837 11587 13776 11468 11622 True
[vector] 11453 12274 11486 13098 11380 12193 True
[vector] 12086 12798 12025 14848 11011 11484 True
[vector] 11174 13101 11549 15216 11186 11238 True
[vector] 11503 12122 11563 13551 11250 12497 True
[vector] 12400 13769 11530 14030 10055 12163 True
[vector] 12410 13805 10957 15672 9919 11912 True
[vector] 11765 13816 11462 14166 10512 12529 True
[vector] 12381 12612 10952 15477 10744 11077 False
[vector] 11644 13333 12410 12972 9899 11020 False
[vector] 11131 12317 10704 13641 11511 10795 False
[vector] 11458 11464 10491 14257 11712 10537 False
[vector] 13891 12973 9689 15047 8867 11018 False
[vector] 11775 12755 10462 15695 10647 11071 False
[vector] 11877 10759 11590 13607 11466 10614 False
[vector] 11558 13578 10348 15249 10110 11568 False
[vector] 11055 12416 9528 13354 9360 13177 False
[vector] 13330 13357 10384 14440 9301 11824 False
[vector] 11814 11411 10170 13790 11503 10967 False
[vector] 11734 13117 11261 14950 9873 11425 False
[vector] 11006 12447 11338 12520 11152 11532 False
[vector] 10426 11782 11063 13060 11977 11381 False
[vector] 11542 14369 10706 14661 9451 11664 False
[vector] 10481 12037 10000 14335 11658 10720 False
[vector] 13040 13805 11089 13888 9487 11114 False
[vector] 10806 11013 11584 12897 11535 11994 False
[vector] 13020 12821 11975 13785 9775 10902 False
[vector] 11776 12648 9994 15109 11378 10831 False
[vector] 13757 12658 9978 13344 8784 11133 False
[vector] 12077 11377 11063 14108 11464 9407 False
[vector] 11714 11296 11606 14265 11323 10999 False
[vector] 11864 13724 11104 14285 10161 11860 False
[vector] 13572 12750 10919 14477 9704 10142 False
[vector] 13000 11984 10499 14867 10097 11417 False
[vector] 11371 11497 12410 14099 10654 10171 False
[vector] 12118 13115 10970 14349 10837 10970 False
[vector] 12040 11825 12942 12961 8955 10019 False
[vector] 10296 12943 11397 13483 11156 11448 False
[vector] 11340 12007 12692 13085 10063 10086 False
[vector] 13104 12387 10148 14593 10008 11940 False
[vector] 9514 10981 9810 11622 12249 11655 False
[vector] 11436 12407 11410 13688 11065 12005 False
[vector] 14037 11818 10186 13053 9948 10162 False
[vector] 12307 12185 9660 13591 11328 10557 False
[vector] 13389 12234 11551 13708 10321 10583 False
[vector] 11637 12090 11418 14210 11295 11366 False
[vector] 10645 12676 9165 13256 10250 13066 False
[vector] 9985 12695 11395 13251 11598 11400 False
[vector] 14137 12111 9590 14106 7764 10602 False
[vector] 10731 13285 12067 13780 10301 10638 False
[vector] 13887 12101 10221 14295 10044 9488 False
[vector] 14216 12816 9208 13780 8357 10632 False
[vector] 11874 12826 10831 13629 10619 12772 False
[vector] 12084 13797 11043 14960 9686 12039 False
[vector] 12219 11704 10570 14765 11152 10582 False
[vector] 12118 12215 9247 14296 10359 12882 False
[vector] 12865 13332 11631 14708 10143 11592 False
[vector] 12141 12129 9686 14549 11276 10959 False
[vector] 12044 13899 10704 14153 9444 12303 False
[vector] 12451 13750 9709 14271 8800 11974 False
[vector] 10690 14661 10306 12788 8275 10722 False
[vector] 11842 11752 11197 12827 11054 11820 False
[vector] 12716 12532 12237 14205 9872 10593 False
[vector] 11372 11496 11048 14000 11630 9747 False
[vector] 12170 12302 11685 14743 10908 11129 False
[vector] 13080 13857 11206 13779 9747 11000 False
[vector] 12403 12533 12390 13416 9977 10614 False
[vector] 11613 11290 11682 13830 11168 11582 False
[vector] 11917 12677 12213 14212 10561 10253 False
[vector] 11851 11569 9994 14094 11801 11027 False
[vector] 12999 11501 11667 14191 10615 10048 False
[vector] 11073 10718 10450 13009 12292 9987 False
[vector] 11205 12539 11428 13156 10861 12029 False
[vector] 11784 10271 10670 12421 11728 10716 False
[vector] 12668 13161 9597 15010 10403 10380 False
[vector] 10651 12881 10353 13765 11236 12478 False
[vector] 13086 12274 10764 14649 9558 12125 False
[vector] 10726 11383 11085 13701 11818 9721 False
[vector] 10314 11518 10470 12565 12214 10393 False
[vector] 12026 12838 11582 15333 10455 11335 False
[vector] 12674 13879 10888 14144 9785 10660 False
[vector] 10973 14119 10703 13196 9231 12341 False
[vector] 11762 10664 10598 12460 11886 10047 False
[vector] 13409 12890 9964 15320 8464 10174 False
[vector] 11206 12939 10537 14674 10616 12240 False
[vector] 11246 11862 11103 13301 11798 11368 False
[vector] 11219 13149 9227 12912 8992 13025 False
[vector] 11573 14628 10798 13602 8400 10891 False
[vector] 10799 12465 11752 12310 9980 12495 False
[vector] 12435 14001 11725 14790 9401 10963 False
[vector] 11254 12042 12754 13147 9660 10507 False
[vector] 12717 12864 11679 14889 10393 10726 False
[vector] 9758 11426 11549 13098 11918 9476 False
[vector] 11282 11603 10244 13690 11802 11075 False
[vector] 12568 12859 9598 15131 10310 10934 False
[vector] 11820 12781 12381 13183 10188 9776 False
[vector] 12730 12279 10846 15365 10927 10461 False
[vector] 11284 13310 9728 14692 10340 12132 False
[vector] 10723 12171 11571 12782 11548 11810 False
[vector] 12815 13484 11554 14255 10273 11288 False
[vector] 12997 12598 11224 14296 10307 10579 False
[vector] 11685 13240 10989 13568 9369 12582 False
[vector] 10983 11784 10427 14255 11489 11995 False
[vector] 11164 12469 11348 14092 11275 10594 False
[vector] 8905 11236 10007 11798 11943 11725 False
[vector] 12788 11757 9248 13226 10193 12100 False
[vector] 10959 11142 12791 13262 10587 10477 False
[vector] 11708 11287 12414 12466 11197 10336 False
[vector] 12167 13512 11693 14267 10470 11006 False
[vector] 12996 13544 10864 15267 10130 11116 False
[vector] 11621 13954 11326 13514 10020 10558 False
[vector] 11687 13498 11047 14758 10337 11538 False
[vector] 10347 12332 11502 14423 11470 10489 False
[vector] 13551 12217 10611 13243 9971 11058 False
[vector] 13180 12644 9862 15070 9079 11717 False
[vector] 12495 12239 10434 14845 10769 11158 False
[vector] 12301 13722 11436 14769 9986 10865 False
[vector] 11984 12904 11206 14709 10731 11951 False
[vector] 12392 10431 9881 13598 11525 10443 False
[vector] 12319 13835 10117 15012 8734 11509 False
[vector] 14097 11683 10828 14333 8448 9037 False
[vector] 12081 12053 10851 14214 11327 10667 False
[vector] 11525 12134 12664 13462 10341 10439 False
[vector] 11664 13180 12437 13968 10156 10720 False
[vector] 10271 12386 9353 13436 10579 12899 False
[vector] 12900 13940 10501 14267 8370 12153 False
[vector] 12424 11870 10883 14506 10264 12258 False
[vector] 10967 11118 9742 13813 12051 10616 False
[vector] 10738 12474 9882 12732 10308 12815 False
[vector] 11367 11596 10731 13339 11427 11651 False
[vector] 12889 13339 11865 13449 9443 11348 False
[vector] 11811 13883 11062 13744 9898 12228 False
[vector] 13648 12397 11514 15014 9654 9906 False
[vector] 11667 11371 10346 12661 11851 10335 False
[vector] 14196 12355 10352 14524 8550 9694 False
[vector] 14237 12249 9922 13891 7998 10702 False
[vector] 10269 12825 11337 13827 11006 11875 False
[vector] 12490 14041 10763 13956 9740 10904 False
[vector] 13886 12698 10059 14492 9956 10866 False
[vector] 13422 12756 11246 14111 9922 10395 False
[vector] 11521 12433 10870 13970 11358 10366 False
[vector] 12203 13598 9496 14332 10315 10951 False
[vector] 11691 12587 10080 15385 11419 9837 False
[vector] 12663 13099 11350 15044 9692 11028 False
[vector] 12374 13107 10879 13746 10695 10906 False
[vector] 13628 12734 9353 14582 9622 11568 False
[vector] 12000 11223 12941 13467 9478 9453 False
[vector] 12401 13543 10389 14015 8777 12341 False
[vector] 12097 12638 11156 14663 10025 12272 False
[vector] 11990 13904 10798 14572 9932 11431 False
[vector] 12108 13150 10631 15243 10466 12328 False
[vector] 12561 13150 10856 13734 8762 12349 False
[vector] 10352 12739 10362 15245 11281 9524 False
[vector] 10143 10707 10623 12404 12057 10734 False
[vector] 12648 13359 11573 14722 8972 11242 False
[vector] 12753 11983 10965 14520 10079 11652 False
[vector] 11537 11952 11086 14425 11061 11266 False
[vector] 10746 11547 9489 13565 10922 12734 False
[vector] 12943 12914 10346 14873 10835 10549 False
[vector] 12776 13115 10810 14731 9663 12054 False
[vector] 11984 11755 11229 13033 11286 11120 False
[vector] 13507 13483 10463 14651 9138 10742 False
[vector] 10917 11503 10507 13607 10080 12994 False
[vector] 12724 13727 10965 14597 9655 10964 False
[vector] 9837 11896 10595 12774 11820 11446 False
[vector] 11627 11265 9248 14772 11405 10972 False
[vector] 11145 12638 9416 12605 8426 13087 False
[vector] 10424 12479 11715 14318 11283 10563 False
[vector] 12143 11696 9726 13821 11464 11344 False
[vector] 13175 12369 10232 14515 10168 11565 False
[vector] 12386 12445 10776 14463 11019 12047 False
[vector] 12568 12615 10088 14596 9712 12078 False
[vector] 13728 13134 10707 14569 9070 11558 False
[vector] 11355 12138 11856 14703 11117 9752 False
[vector] 10578 10929 11145 13852 11430 11302 False
[vector] 13287 12940 11143 13631 10187 10234 False
[vector] 10683 11225 10326 12992 12072 11585 False
[vector] 13373 10997 10638 13382 11171 10184 False
[vector] 11436 11854 9970 13869 11583 11902 False
[vector] 12209 13484 10340 13926 10642 11114 False
