[nb-items] 10
[nb-objectives] 6
[nb-pareto] 21
[nb-lorenz] 4
[runtime] 0.01705193519592285
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 4015 3075 4412 3195 2432 2979 True
[vector] 3496 2957 4739 3244 2303 3331 True
[vector] 3341 3045 3571 3416 2658 3244 True
[vector] 3080 2852 4207 3002 2928 2799 True
[vector] 1757 2491 4216 2819 2762 2336 False
[vector] 2641 2271 3814 2971 2625 2873 False
[vector] 3576 2494 4019 3164 2129 3053 False
[vector] 2457 3265 3973 3264 2795 2707 False
[vector] 3454 3162 3478 2232 1718 3512 False
[vector] 3315 2301 4655 2750 2399 2608 False
[vector] 3131 3351 3470 2886 2050 3201 False
[vector] 2134 2147 3046 2683 2099 3713 False
[vector] 3036 1892 2446 2201 1186 3558 False
[vector] 2632 2954 3358 2634 2457 3389 False
[vector] 2780 3076 3981 2610 2463 3018 False
[vector] 3015 2581 3085 2201 1415 3586 False
[vector] 2633 2544 3158 2935 1692 3525 False
[vector] 3664 2856 3579 2762 2326 3555 False
[vector] 3517 2268 4100 3244 2074 3303 False
[vector] 2780 3132 2637 2453 1944 3777 False
[vector] 3403 2663 4215 2348 2596 3110 False
