[nb-items] 80
[nb-objectives] 3
[nb-pareto] 1624
[nb-lorenz] 20
[runtime] 519.5702452659607
[format] f1 f2 f3 isLorenzND
[vector] 31149 29806 30109 True
[vector] 31138 29811 30082 True
[vector] 31383 29925 29825 True
[vector] 30913 29671 30615 True
[vector] 31032 29876 30114 True
[vector] 31158 29785 30358 True
[vector] 32034 29277 30029 True
[vector] 30428 30074 30312 True
[vector] 30411 30155 30082 True
[vector] 31034 29472 30777 True
[vector] 31028 30005 29947 True
[vector] 31147 29939 29912 True
[vector] 32155 29078 30191 True
[vector] 30662 29819 30424 True
[vector] 31264 29869 29907 True
[vector] 30281 30104 30137 True
[vector] 32352 29099 30015 True
[vector] 30902 29825 30169 True
[vector] 32279 29391 29772 True
[vector] 31952 29618 29749 True
[vector] 31537 27968 31329 False
[vector] 27734 28646 31929 False
[vector] 33581 26750 27898 False
[vector] 34002 25960 26606 False
[vector] 31719 28795 30477 False
[vector] 29272 28356 31976 False
[vector] 29048 29461 31115 False
[vector] 33677 26573 27851 False
[vector] 29667 27341 32411 False
[vector] 33626 27266 27603 False
[vector] 31389 30289 28399 False
[vector] 30838 30678 27455 False
[vector] 31670 30201 28368 False
[vector] 33652 28421 26030 False
[vector] 31645 26045 31585 False
[vector] 30422 30683 28697 False
[vector] 28642 30337 30254 False
[vector] 28976 30487 29811 False
[vector] 33763 27076 27369 False
[vector] 33481 26150 28427 False
[vector] 28688 31021 28342 False
[vector] 29813 28346 31900 False
[vector] 29544 30057 30484 False
[vector] 32177 29758 29216 False
[vector] 33856 27073 26536 False
[vector] 32022 30100 28201 False
[vector] 29792 30459 29501 False
[vector] 30095 28620 31509 False
[vector] 33541 28177 26962 False
[vector] 31371 28642 31056 False
[vector] 30902 29102 30910 False
[vector] 31447 30047 29170 False
[vector] 31273 30119 29690 False
[vector] 29148 29454 31071 False
[vector] 33352 28682 26281 False
[vector] 31506 28169 31264 False
[vector] 31324 29236 30607 False
[vector] 33053 27525 29236 False
[vector] 28751 26256 32786 False
[vector] 32450 28604 30153 False
[vector] 31587 29958 29395 False
[vector] 30347 28942 31290 False
[vector] 33664 26345 27976 False
[vector] 31207 30245 28466 False
[vector] 30450 28036 31989 False
[vector] 33805 26311 27222 False
[vector] 31171 27993 31419 False
[vector] 32317 27562 30568 False
[vector] 33312 28065 28209 False
[vector] 31733 28007 31145 False
[vector] 29527 30138 30254 False
[vector] 33985 26031 26378 False
[vector] 31376 29048 30690 False
[vector] 29192 29613 30937 False
[vector] 33316 28361 27636 False
[vector] 33174 28393 28417 False
[vector] 29756 29216 31128 False
[vector] 28305 28845 31700 False
[vector] 32989 28742 29096 False
[vector] 31556 29078 30417 False
[vector] 31098 28649 31143 False
[vector] 28971 27726 32459 False
[vector] 32154 29461 29585 False
[vector] 29864 28991 31471 False
[vector] 32741 28725 29195 False
[vector] 30645 29900 30194 False
[vector] 29237 26900 32698 False
[vector] 28413 27828 32390 False
[vector] 33704 27979 25509 False
[vector] 31729 28326 30817 False
[vector] 31288 30314 28452 False
[vector] 33177 26584 29235 False
[vector] 30220 30862 28160 False
[vector] 28613 26098 32810 False
[vector] 29241 30481 29713 False
[vector] 33021 26850 29504 False
[vector] 28181 31293 27477 False
[vector] 30158 30893 26091 False
[vector] 28512 30101 30536 False
[vector] 29722 27501 32344 False
[vector] 28674 28362 32037 False
[vector] 27769 31267 27864 False
[vector] 28193 29132 31438 False
[vector] 30226 29141 31128 False
[vector] 31372 28330 31156 False
[vector] 31783 27895 31148 False
[vector] 30578 27984 31911 False
[vector] 33003 29078 27956 False
[vector] 31297 28260 31220 False
[vector] 31115 29327 30563 False
[vector] 32914 28794 29070 False
[vector] 33346 28300 28135 False
[vector] 31403 30407 27783 False
[vector] 29913 28627 31603 False
[vector] 31465 29902 29598 False
[vector] 29665 29858 30646 False
[vector] 29018 29218 31353 False
