[nb-items] 60
[nb-objectives] 3
[nb-pareto] 1605
[nb-lorenz] 22
[runtime] 213.09895205497742
[format] f1 f2 f3 isLorenzND
[vector] 22230 21082 22603 True
[vector] 22604 21213 22034 True
[vector] 21580 21491 22634 True
[vector] 21777 21188 23179 True
[vector] 21967 21414 22195 True
[vector] 22165 21115 22971 True
[vector] 21670 21707 21765 True
[vector] 22274 21121 22265 True
[vector] 21989 21290 22372 True
[vector] 21716 21666 21847 True
[vector] 21758 21330 22544 True
[vector] 22113 21181 22568 True
[vector] 21642 21634 22187 True
[vector] 21605 21337 22947 True
[vector] 22030 21561 21979 True
[vector] 22063 21604 21808 True
[vector] 22088 21700 21608 True
[vector] 21795 21324 22642 True
[vector] 22446 20972 22497 True
[vector] 22109 21261 22448 True
[vector] 21726 21723 21674 True
[vector] 21831 21623 21911 True
[vector] 20358 22286 21879 False
[vector] 21685 21483 22216 False
[vector] 18212 23206 21206 False
[vector] 23323 19700 22499 False
[vector] 20486 21861 22849 False
[vector] 19788 19798 24661 False
[vector] 18390 22842 22158 False
[vector] 21548 21800 21518 False
[vector] 19071 23268 19750 False
[vector] 22003 19946 23750 False
[vector] 22655 20283 23082 False
[vector] 22280 21649 20300 False
[vector] 20022 20689 24154 False
[vector] 19236 23036 20811 False
[vector] 18319 18470 24941 False
[vector] 22421 21580 20039 False
[vector] 20881 22045 21862 False
[vector] 23866 20449 20420 False
[vector] 22285 18800 23710 False
[vector] 24577 19402 19918 False
[vector] 20941 22589 19640 False
[vector] 19693 22545 22007 False
[vector] 19031 23268 20495 False
[vector] 19698 22592 21770 False
[vector] 21806 20712 23585 False
[vector] 21836 21709 21648 False
[vector] 18270 23137 21040 False
[vector] 22142 21818 20112 False
[vector] 18968 18429 24891 False
[vector] 22122 19787 23605 False
[vector] 20892 19746 24285 False
[vector] 18689 18688 24850 False
[vector] 20634 20713 24036 False
[vector] 21482 20508 23592 False
[vector] 19339 22734 21511 False
[vector] 20798 20055 24301 False
[vector] 17921 23406 20420 False
[vector] 18363 23318 20229 False
[vector] 20377 22255 22035 False
[vector] 20245 22678 20821 False
[vector] 19131 18336 24939 False
[vector] 20501 21327 23508 False
[vector] 19419 23195 20287 False
[vector] 18696 23125 21178 False
[vector] 22079 21350 21895 False
[vector] 21475 21936 21352 False
[vector] 20901 21752 22644 False
[vector] 22962 20756 21797 False
[vector] 22375 21541 20502 False
[vector] 18142 23273 21111 False
[vector] 23464 20152 21817 False
[vector] 22661 21346 21523 False
[vector] 19466 21524 23514 False
[vector] 18426 18691 24847 False
[vector] 20545 22851 18646 False
[vector] 23439 20056 22017 False
[vector] 22401 19549 23532 False
[vector] 22096 21779 20575 False
[vector] 21126 20567 23858 False
[vector] 18935 23117 20856 False
[vector] 19726 22814 20845 False
[vector] 24201 20013 20693 False
[vector] 22966 20795 21511 False
[vector] 18247 23549 19078 False
[vector] 17786 23763 18787 False
[vector] 22358 19759 23390 False
[vector] 17743 23586 19858 False
[vector] 23741 19578 22194 False
[vector] 22391 20643 23026 False
[vector] 21506 21028 23421 False
[vector] 21781 21402 22249 False
[vector] 20465 20743 24140 False
[vector] 20574 20471 24139 False
[vector] 20281 21846 22980 False
[vector] 22466 19456 23511 False
[vector] 20133 22446 21903 False
[vector] 23715 20107 21492 False
[vector] 20218 22558 21221 False
[vector] 20092 21754 23212 False
[vector] 20922 22065 21668 False
[vector] 23057 20533 22382 False
[vector] 22895 20757 21842 False
[vector] 21790 21056 23070 False
[vector] 20380 19819 24394 False
[vector] 22755 20341 22605 False
[vector] 20884 22360 20899 False
[vector] 22335 20482 23185 False
[vector] 17999 23348 20336 False
[vector] 23211 19858 22588 False
[vector] 17738 16550 25141 False
[vector] 21916 21991 20106 False
[vector] 19202 21076 23993 False
[vector] 20318 22956 18486 False
[vector] 22001 21291 22170 False
[vector] 20591 22508 20913 False
[vector] 23413 20766 19855 False
[vector] 20028 22001 22962 False
[vector] 21402 21366 22826 False
[vector] 21119 20491 23905 False
[vector] 21251 20976 23425 False
[vector] 22808 20436 22588 False
[vector] 22756 19362 23172 False
[vector] 21689 22096 19946 False
[vector] 20942 20834 23826 False
[vector] 21866 18708 23915 False
[vector] 19247 23291 19108 False
[vector] 21197 21995 21534 False
[vector] 24282 19100 20793 False
[vector] 24370 19261 20648 False
[vector] 22104 21824 19701 False
[vector] 21360 22161 20867 False
[vector] 17758 23524 20373 False
[vector] 16740 23426 20541 False
[vector] 21595 22135 19994 False
[vector] 23464 20483 21637 False
[vector] 21881 22045 18638 False
[vector] 23896 20236 19911 False
[vector] 21701 21285 22714 False
[vector] 19397 22923 20895 False
[vector] 19301 22834 21540 False
[vector] 21501 22280 20408 False
[vector] 21129 22098 21539 False
[vector] 18083 23386 20289 False
[vector] 16742 23655 19519 False
[vector] 18815 23055 21647 False
[vector] 20071 21439 23784 False
[vector] 22943 21128 20086 False
[vector] 20754 22363 21244 False
[vector] 23060 20412 22187 False
[vector] 20951 22112 21642 False
[vector] 23498 19185 22474 False
[vector] 20099 22403 21955 False
[vector] 22960 21174 19517 False
[vector] 23912 20269 19661 False
[vector] 23698 19718 22018 False
[vector] 20783 19735 24310 False
[vector] 19985 22942 20180 False
[vector] 21220 21536 23005 False
[vector] 22783 20340 22788 False
[vector] 18194 23582 19622 False
[vector] 21471 22166 20523 False
[vector] 21889 19514 23867 False
[vector] 19939 22980 20318 False
[vector] 21685 21980 20849 False
[vector] 20138 21496 23516 False
[vector] 22877 21172 20220 False
[vector] 22428 21388 21435 False
[vector] 23641 20494 19814 False
[vector] 19725 22272 22524 False
[vector] 15913 23850 17478 False
[vector] 20164 22887 20004 False
[vector] 22050 18441 23947 False
[vector] 20086 22030 22754 False
[vector] 21565 21993 21065 False
[vector] 20238 22861 20361 False
[vector] 21349 21987 21460 False
[vector] 19587 18401 24791 False
[vector] 23736 19700 22087 False
[vector] 23979 19221 21556 False
[vector] 19538 18692 24722 False
[vector] 17418 23558 20211 False
[vector] 20795 19723 24313 False
[vector] 22416 21580 20472 False
[vector] 19358 22903 21309 False
[vector] 19915 21881 22987 False
[vector] 19051 18906 24761 False
[vector] 24116 19644 21159 False
[vector] 19466 22650 21847 False
[vector] 22275 20664 23079 False
[vector] 20230 20517 24346 False
[vector] 20566 21209 23523 False
[vector] 20749 22447 21283 False
[vector] 22771 18937 23361 False
[vector] 20750 21998 22155 False
[vector] 18367 18784 24844 False
[vector] 20700 22214 21776 False
[vector] 19805 21895 23013 False
[vector] 18351 22586 22649 False
[vector] 21004 22144 21426 False
[vector] 22043 21248 22473 False
[vector] 23256 20621 21349 False
[vector] 22018 21152 22673 False
[vector] 21878 20341 23477 False
[vector] 20493 21776 22910 False
[vector] 21163 21290 23421 False
[vector] 20882 20491 23994 False
[vector] 17425 16601 25132 False
[vector] 19887 20831 24040 False
[vector] 22384 20829 22944 False
[vector] 21448 21440 22696 False
[vector] 22115 21125 22539 False
[vector] 19137 18169 24922 False
[vector] 17813 23652 17340 False
[vector] 19458 22592 22171 False
[vector] 20954 21992 22234 False
[vector] 22917 18906 23367 False
[vector] 22695 21342 20399 False
[vector] 19983 18588 24659 False
[vector] 21676 19321 23943 False
[vector] 17526 23632 19356 False
[vector] 20727 21912 22401 False
[vector] 20622 22810 19224 False
[vector] 21407 22039 21357 False
[vector] 22694 20702 22390 False
[vector] 18351 23350 20164 False
[vector] 17032 23622 19697 False
[vector] 24470 19319 20171 False
[vector] 21978 21859 21182 False
[vector] 20087 21732 23219 False
[vector] 21971 19048 23882 False
[vector] 20213 22765 20561 False
[vector] 21189 20424 24000 False
[vector] 20203 18992 24560 False
[vector] 18316 19215 24832 False
[vector] 21279 21267 23262 False
