[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 7183 5829 5784 7760 4400 6096 False
[vector] 6196 5187 6809 7454 4477 6971 False
[vector] 5382 5338 6275 6483 4824 7385 False
[vector] 7175 5580 6452 7303 3789 6706 False
[vector] 5975 5094 5504 7436 4869 7426 False
[vector] 4666 4278 5717 6190 6369 6117 False
[vector] 5809 5820 5755 7984 5499 5868 False
[vector] 6195 5269 6609 8007 5987 6039 False
[vector] 5213 4702 5103 8059 4898 7189 False
[vector] 6685 5287 6933 7887 5090 5320 False
[vector] 6463 5765 7620 7063 5285 5696 False
[vector] 6869 5740 6466 7453 4061 6466 False
[vector] 6865 5008 6923 7109 5791 6064 False
[vector] 5649 5066 7193 6818 5273 6861 False
[vector] 5186 4786 5898 6158 5655 7172 False
[vector] 5913 5373 7949 6032 5083 5346 False
[vector] 6975 5387 7142 6423 4721 6310 False
[vector] 7593 5046 6110 6643 3452 5576 False
[vector] 6681 5640 6227 8179 5191 5902 False
[vector] 5656 5903 5442 7130 3864 7294 False
[vector] 6503 5148 6786 7316 5051 6885 False
[vector] 4506 4385 5025 6891 5304 7633 False
[vector] 6012 6162 7736 6697 4833 6790 False
[vector] 6970 5919 6907 7805 4927 6006 False
[vector] 5443 4824 5895 6210 5529 7292 False
[vector] 6942 5256 6254 7736 5238 5256 False
[vector] 6257 5218 6015 8436 5228 5450 False
[vector] 6780 5596 7063 7616 5238 6378 False
[vector] 5261 5230 5334 6894 5536 7429 False
[vector] 5091 5370 4562 7127 4487 7648 False
[vector] 5019 5560 5938 7243 5594 7274 False
[vector] 6528 6410 6542 7436 4238 6565 False
[vector] 5640 6066 5654 8087 5193 6608 False
[vector] 6096 4854 7821 5605 4956 5640 False
[vector] 5973 6085 6963 6782 4602 6689 False
[vector] 6470 4951 6116 7282 5583 6286 False
[vector] 5289 4767 5988 6761 6167 6241 False
[vector] 5498 5658 7925 5807 4865 6221 False
[vector] 6217 4764 4900 7087 4811 7581 False
[vector] 6254 5832 7132 6348 4775 6945 False
[vector] 6322 5608 7563 7413 5555 5221 False
[vector] 5322 4528 4483 6198 3988 7747 False
[vector] 5800 5726 6236 7987 5736 6403 False
[vector] 7088 6133 6323 7552 4234 6900 False
[vector] 6429 5377 6230 7183 5132 6954 False
[vector] 7109 5444 5684 7552 4005 6872 False
[vector] 4938 5967 7292 6756 5302 5516 False
[vector] 5726 5668 5596 8298 5596 6339 False
[vector] 4970 5660 6009 7122 5730 7102 False
[vector] 5858 6004 6897 6471 4775 7059 False
[vector] 6154 5737 6514 7749 5458 6209 False
[vector] 6352 5527 6145 8165 5376 6508 False
[vector] 6068 6135 6572 7538 5055 6478 False
[vector] 7050 5866 7442 7577 4107 6211 False
[vector] 5051 5661 7882 6307 5407 5506 False
[vector] 4814 4400 6340 6166 6375 5746 False
[vector] 5153 4774 5787 6534 6001 7080 False
[vector] 4399 5170 6512 6816 6258 5220 False
[vector] 6540 5627 6384 7439 4246 7072 False
[vector] 5915 5706 5370 7521 4867 7353 False
[vector] 6629 5314 8097 7046 4868 5632 False
[vector] 5689 5299 6252 6345 5398 7299 False
[vector] 5827 5245 5644 5980 4075 7507 False
[vector] 7482 5541 6429 7165 4363 6620 False
[vector] 4973 5039 5952 7421 6085 6022 False
[vector] 6059 6041 7053 7541 5292 7013 False
[vector] 4878 5343 6491 7213 5919 6826 False
[vector] 6011 4926 7330 6611 6013 6040 False
[vector] 6846 4719 6049 7376 5602 6552 False
[vector] 6450 5293 6899 6884 5573 6939 False
[vector] 6429 5314 5886 7882 4606 6465 False
[vector] 6933 5162 6735 7739 5475 5791 False
[vector] 5721 5127 7433 6889 5999 5821 False
[vector] 5585 5575 6248 6329 4133 7352 False
[vector] 5631 5972 6135 8090 5430 7143 False
[vector] 5584 6093 6818 7246 4971 6920 False
[vector] 6847 5588 6361 7301 4820 6986 False
[vector] 7175 4832 6131 7390 5417 5946 False
[vector] 6183 4833 5915 8228 4833 6226 False
[vector] 6715 5688 6698 7272 3715 6808 False
[vector] 7378 5138 6780 7439 4452 6097 False
[vector] 5333 5040 3958 6778 4429 7803 False
[vector] 5912 4504 7637 6107 5865 4912 False
[vector] 5983 4571 5929 7145 6039 5646 False
[vector] 4546 5144 6447 6259 6034 6179 False
[vector] 6543 5712 8155 6835 4465 5901 False
[vector] 5139 4900 5676 7212 6079 6220 False
[vector] 4670 5471 6281 7700 6004 5859 False
[vector] 5813 5566 6696 7406 5423 7006 False
[vector] 6733 5717 7746 6772 4779 6155 False
[vector] 7240 5871 7033 7514 4421 6465 False
[vector] 5385 6011 6212 7762 5518 7278 False
[vector] 6536 4895 6841 7095 5976 6670 False
[vector] 6184 4757 7134 7427 5546 5983 False
[vector] 5766 5687 7379 6562 4964 6783 False
[vector] 6387 5313 6391 7403 5637 6899 False
[vector] 6282 5055 5481 7298 5443 7340 False
[vector] 6080 5352 6414 7541 5063 6985 False
[vector] 6848 6429 7105 7453 4290 6494 False
[vector] 4910 3923 5722 6251 6476 5400 False
[vector] 5125 3684 5375 6163 6334 5770 False
[vector] 4469 5157 6980 6808 6090 5789 False
[vector] 6161 4681 5810 8076 5592 6746 False
[vector] 6662 5833 6811 6840 4237 6862 False
[vector] 4815 4227 6261 6043 6310 6204 False
[vector] 4688 3979 5586 6207 5297 7496 False
[vector] 5175 5907 7307 6841 5142 5883 False
[vector] 4258 5013 6455 7166 6528 4745 False
[vector] 6462 6274 5774 7685 4454 6731 False
[vector] 6929 5619 6529 6975 3877 6841 False
[vector] 6038 5940 5369 6396 3587 7355 False
[vector] 5201 5154 6499 6559 5587 7137 False
[vector] 6928 5774 6342 7435 4725 6766 False
[vector] 6087 4147 7633 6087 5211 4313 False
[vector] 6214 5599 8073 6821 4650 6507 False
[vector] 6772 4762 7209 6244 4904 5210 False
