[nb-items] 70
[nb-objectives] 3
[nb-pareto] 50
[nb-lorenz] 50
[runtime] 8.226284980773926
[format] f1 f2 f3 isLorenzND
[vector] 28185 27037 25943 True
[vector] 29055 26604 25955 True
[vector] 27726 27860 25595 True
[vector] 27513 27122 26197 True
[vector] 28479 26756 26069 True
[vector] 27666 27340 25930 True
[vector] 27188 26807 26427 True
[vector] 28131 26903 26031 True
[vector] 27453 26602 26532 True
[vector] 29026 26534 25973 True
[vector] 29016 27137 25717 True
[vector] 27095 26980 26302 True
[vector] 28270 26658 26113 True
[vector] 28231 27191 25875 True
[vector] 27136 26894 26358 True
[vector] 28879 26361 26216 True
[vector] 26782 26679 26597 True
[vector] 27148 27039 26248 True
[vector] 27410 27348 26021 True
[vector] 27198 26754 26478 True
[vector] 28669 26469 26147 True
[vector] 28181 27343 25798 True
[vector] 28376 26323 26403 True
[vector] 28806 27245 25648 True
[vector] 27804 26414 26452 True
[vector] 27819 26962 26183 True
[vector] 28611 26819 25949 True
[vector] 28481 27222 25702 True
[vector] 28220 26810 26036 True
[vector] 27507 26869 26291 True
[vector] 28845 26712 25886 True
[vector] 28023 26601 26346 True
[vector] 27026 26526 26616 True
[vector] 26969 26620 26533 True
[vector] 26978 26915 26358 True
[vector] 27971 27451 25729 True
[vector] 27607 26393 26618 True
[vector] 27776 27708 25672 True
[vector] 28438 26316 26370 True
[vector] 28431 27374 25625 True
[vector] 28021 27299 25806 True
[vector] 28170 26774 26103 True
[vector] 27754 26566 26375 True
[vector] 28497 27263 25682 True
[vector] 27716 27188 26007 True
[vector] 27717 26761 26360 True
[vector] 28120 26926 26026 True
[vector] 27339 26851 26351 True
[vector] 28395 26929 26012 True
[vector] 27973 26753 26269 True
