[nb-items] 35
[nb-objectives] 6
[nb-pareto] 29
[nb-lorenz] 29
[runtime] 9.22203803062439
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 12180 13531 11486 14391 10730 11654 True
[vector] 13231 13498 11299 15532 10099 11377 True
[vector] 11590 12565 12249 13914 11123 11736 True
[vector] 12720 11910 11349 14560 11084 11610 True
[vector] 11941 12363 11316 14337 11147 11556 True
[vector] 12280 12436 11983 14370 11064 11107 True
[vector] 11540 12717 12172 13461 11253 11432 True
[vector] 12489 13340 12232 13850 9869 11975 True
[vector] 11245 13308 11281 14198 11226 11474 True
[vector] 12563 12662 11894 14068 10732 11803 True
[vector] 12392 12638 12011 14698 10739 11724 True
[vector] 11125 13002 12148 13236 11035 12307 True
[vector] 12036 12950 11948 14395 11141 11180 True
[vector] 11829 12443 11412 13268 11507 11433 True
[vector] 11295 13156 11358 14651 11096 11778 True
[vector] 12395 13231 11930 14776 10642 11673 True
[vector] 11162 12496 11331 14463 11261 11866 True
[vector] 12496 13407 10899 15883 10322 11643 True
[vector] 11846 12557 12158 13311 10981 11672 True
[vector] 11879 12291 11489 13721 11377 11737 True
[vector] 11896 12405 12235 13764 10851 11976 True
[vector] 11918 11837 11587 13776 11468 11622 True
[vector] 11453 12274 11486 13098 11380 12193 True
[vector] 12086 12798 12025 14848 11011 11484 True
[vector] 11174 13101 11549 15216 11186 11238 True
[vector] 11503 12122 11563 13551 11250 12497 True
[vector] 12400 13769 11530 14030 10055 12163 True
[vector] 12410 13805 10957 15672 9919 11912 True
[vector] 11765 13816 11462 14166 10512 12529 True
