[nb-items] 60
[nb-objectives] 4
[nb-pareto] 22
[nb-lorenz] 22
[runtime] 1.3059062957763672
[format] f1 f2 f3 f4 isLorenzND
[vector] 24629 23329 22119 23322 True
[vector] 23953 22645 22616 23064 True
[vector] 24492 22553 22618 23392 True
[vector] 24174 22456 22370 24160 True
[vector] 23226 22794 22751 22774 True
[vector] 24316 23004 22384 23163 True
[vector] 24668 22796 22357 23269 True
[vector] 24076 23178 22044 24087 True
[vector] 23571 22908 22649 22713 True
[vector] 24442 22705 22541 22939 True
[vector] 24283 22726 22414 23439 True
[vector] 23207 22990 22488 23103 True
[vector] 24568 22758 22304 23933 True
[vector] 25242 22894 21374 24396 True
[vector] 23657 23442 22341 23596 True
[vector] 23711 23041 22396 23208 True
[vector] 23667 22839 22597 23266 True
[vector] 24378 22997 22351 23671 True
[vector] 24797 22733 22054 24162 True
[vector] 23363 22651 22745 22971 True
[vector] 24381 22589 22570 23275 True
[vector] 23128 22931 22595 22938 True
